Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,41.22,41.5,41.0,41.24,5888000.0,0.0,1.0,37.6861876763,37.942183128735,37.485048392244,37.704473065759,5888000.0
2010-01-05,41.43,43.82,41.24,43.66,10663400.0,0.0,1.0,37.878184265626,40.063288306052,37.704473065759,39.917005190375,10663400.0
2010-01-06,43.37,46.03,43.37,45.84,10315800.0,0.0,1.0,39.65186704321,42.083823841341,39.65186704321,41.910112641475,10315800.0
2010-01-07,45.7,46.22,45.21,46.17,5608800.0,0.0,1.0,41.782114915257,42.257535041208,41.334122873496,42.211821567559,5608800.0
2010-01-08,45.85,47.18,45.65,47.1,4875600.0,0.0,1.0,41.919255336204,43.13523373527,41.736401441608,43.062092177431,4875600.0
2010-01-11,47.47,47.98,46.26,46.6,6026300.0,0.0,1.0,43.400371882435,43.866649313655,42.294105820127,42.604957440941,6026300.0
2010-01-12,46.1,46.62,45.43,45.71,5533200.0,0.0,1.0,42.14782270445,42.6232428304,41.535262157552,41.791257609987,5533200.0
2010-01-13,45.93,46.75,44.95,46.55,3961800.0,0.0,1.0,41.992396894043,42.742097861888,41.096412810521,42.559243967292,3961800.0
2010-01-14,46.25,47.75,46.25,47.53,4990600.0,0.0,1.0,42.284963125397,43.656367334869,42.284963125397,43.455228050813,4990600.0
2010-01-15,47.67,47.95,46.55,47.28,6627700.0,0.0,1.0,43.583225777031,43.839221229466,42.559243967292,43.226660682568,6627700.0
2010-01-19,46.97,48.11,46.78,48.05,3592500.0,0.0,1.0,42.943237145944,43.985504345143,42.769525946077,43.930648176764,3592500.0
2010-01-20,47.41,47.63,46.05,47.14,4840100.0,0.0,1.0,43.345515714056,43.546654998112,42.102109230801,43.098662956351,4840100.0
2010-01-21,46.94,48.08,46.59,46.63,8282300.0,0.0,1.0,42.915809061754,43.958076260953,42.595814746211,42.63238552513,8282300.0
2010-01-22,46.39,46.39,44.21,44.27,7313700.0,0.0,1.0,42.412960851615,42.412960851615,40.419853400515,40.474709568894,7313700.0
2010-01-25,44.17,45.64,43.86,44.59,6932500.0,0.0,1.0,40.383282621595,41.727258746878,40.099859084971,40.767275800248,6932500.0
2010-01-26,46.37,48.74,45.55,46.89,14179300.0,0.0,1.0,42.394675462155,44.561494113121,41.64497449431,42.870095588105,14179300.0
2010-01-27,46.91,47.96,46.25,47.6,9707700.0,0.0,1.0,42.888380977565,43.848363924196,42.284963125397,43.519226913922,9707700.0
2010-01-28,47.87,48.09,45.46,46.47,5357500.0,0.15,1.0,43.907351717049,44.109140256379,41.696849990747,42.6232428304,5357500.0
2010-01-29,47.02,48.39,45.01,45.28,7382800.0,0.0,1.0,43.127714178727,44.384306446375,41.284100705752,41.531750276749,7382800.0
2010-02-01,46.15,47.45,45.84,47.33,5406900.0,0.0,1.0,42.329732227738,43.522119051054,42.045393831408,43.412052575056,5406900.0
