Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,42.52,43.6,42.52,43.43,2648000.0,0.0,1.0,42.52,43.6,42.52,43.43,2648000.0
2010-01-05,43.55,44.03,43.32,43.96,2243500.0,0.0,1.0,43.55,44.03,43.32,43.96,2243500.0
2010-01-06,43.61,44.26,43.15,44.26,3509700.0,0.0,1.0,43.61,44.26,43.15,44.26,3509700.0
2010-01-07,43.85,44.52,43.69,44.5,2156900.0,0.0,1.0,43.85,44.52,43.69,44.5,2156900.0
2010-01-08,43.72,45.0,43.69,44.86,3290000.0,0.0,1.0,43.72,45.0,43.69,44.86,3290000.0
2010-01-11,45.43,45.43,43.17,43.74,2808000.0,0.0,1.0,45.43,45.43,43.17,43.74,2808000.0
2010-01-12,43.0,43.07,42.082,42.39,2984400.0,0.0,1.0,43.0,43.07,42.082,42.39,2984400.0
2010-01-13,42.36,43.14,41.72,43.08,2408400.0,0.0,1.0,42.36,43.14,41.72,43.08,2408400.0
2010-01-14,42.79,43.22,42.13,42.59,1973000.0,0.0,1.0,42.79,43.22,42.13,42.59,1973000.0
2010-01-15,42.56,42.7,41.43,41.65,3624200.0,0.0,1.0,42.56,42.7,41.43,41.65,3624200.0
2010-01-19,41.47,42.25,41.08,42.18,3211700.0,0.0,1.0,41.47,42.25,41.08,42.18,3211700.0
2010-01-20,41.53,42.08,40.96,41.92,2810700.0,0.0,1.0,41.53,42.08,40.96,41.92,2810700.0
2010-01-21,41.89,42.39,40.16,40.5,4812100.0,0.0,1.0,41.89,42.39,40.16,40.5,4812100.0
2010-01-22,40.11,40.37,38.92,39.08,3046400.0,0.0,1.0,40.11,40.37,38.92,39.08,3046400.0
2010-01-25,39.38,40.44,39.24,39.84,2341000.0,0.0,1.0,39.38,40.44,39.24,39.84,2341000.0
2010-01-26,39.38,40.57,39.0,39.15,2866100.0,0.0,1.0,39.38,40.57,39.0,39.15,2866100.0
2010-01-27,39.13,39.61,38.22,39.07,2742900.0,0.0,1.0,39.13,39.61,38.22,39.07,2742900.0
2010-01-28,39.435,39.56,37.581,37.99,5283000.0,0.0,1.0,39.435,39.56,37.581,37.99,5283000.0
2010-01-29,38.62,39.59,37.34,37.66,4894700.0,0.0,1.0,38.62,39.59,37.34,37.66,4894700.0
2010-02-01,38.03,39.21,38.03,39.15,2360700.0,0.0,1.0,38.03,39.21,38.03,39.15,2360700.0
2010-02-02,38.96,39.76,38.82,39.6,3284000.0,0.0,1.0,38.96,39.76,38.82,39.6,3284000.0
2010-02-03,39.4,40.27,39.31,39.68,2645600.0,0.0,1.0,39.4,40.27,39.31,39.68,2645600.0
2010-02-04,38.95,39.11,37.5,37.88,3699600.0,0.0,1.0,38.95,39.11,37.5,37.88,3699600.0
2010-02-05,37.91,38.21,35.98,37.31,4502400.0,0.0,1.0,37.91,38.21,35.98,37.31,4502400.0
2010-02-08,37.32,38.06,36.76,36.91,3719000.0,0.0,1.0,37.32,38.06,36.76,36.91,3719000.0
2010-02-09,38.22,39.86,37.8,39.33,5370200.0,0.0,1.0,38.22,39.86,37.8,39.33,5370200.0
2010-02-10,39.39,39.69,38.36,39.25,3202700.0,0.0,1.0,39.39,39.69,38.36,39.25,3202700.0
2010-02-11,40.24,41.05,39.23,40.97,4004100.0,0.0,1.0,40.24,41.05,39.23,40.97,4004100.0
2010-02-12,40.11,41.05,39.83,40.86,2896500.0,0.0,1.0,40.11,41.05,39.83,40.86,2896500.0
2010-02-16,41.7,41.75,41.24,41.71,2684900.0,0.0,1.0,41.7,41.75,41.24,41.71,2684900.0
2010-02-17,41.91,42.08,40.74,41.16,3869600.0,0.0,1.0,41.91,42.08,40.74,41.16,3869600.0
2010-02-18,41.19,41.95,40.75,41.76,3089000.0,0.0,1.0,41.19,41.95,40.75,41.76,3089000.0
2010-02-19,41.61,42.07,41.3,41.94,2875800.0,0.0,1.0,41.61,42.07,41.3,41.94,2875800.0
2010-02-22,42.52,42.61,41.24,42.0,3232500.0,0.0,1.0,42.52,42.61,41.24,42.0,3232500.0
2010-02-23,42.0,42.03,40.66,40.75,4673000.0,0.0,1.0,42.0,42.03,40.66,40.75,4673000.0
2010-02-24,40.92,41.25,40.4,40.99,2683800.0,0.0,1.0,40.92,41.25,40.4,40.99,2683800.0
2010-02-25,40.01,40.79,39.58,40.71,3414500.0,0.0,1.0,40.01,40.79,39.58,40.71,3414500.0
2010-02-26,41.03,41.27,40.39,41.13,2427000.0,0.0,1.0,41.03,41.27,40.39,41.13,2427000.0
2010-03-01,41.47,41.67,41.02,41.52,1797200.0,0.0,1.0,41.47,41.67,41.02,41.52,1797200.0
2010-03-02,41.54,42.54,41.36,42.21,2887400.0,0.0,1.0,41.54,42.54,41.36,42.21,2887400.0
2010-03-03,42.46,43.68,42.24,43.54,3668100.0,0.0,1.0,42.46,43.68,42.24,43.54,3668100.0
2010-03-04,43.54,44.0,42.86,43.26,4059500.0,0.0,1.0,43.54,44.0,42.86,43.26,4059500.0
2010-03-05,43.75,44.43,43.75,44.43,2532800.0,0.0,1.0,43.75,44.43,43.75,44.43,2532800.0
2010-03-08,44.54,44.98,43.45,43.8,3369700.0,0.0,1.0,44.54,44.98,43.45,43.8,3369700.0
2010-03-09,43.45,43.73,43.13,43.44,2295900.0,0.0,1.0,43.45,43.73,43.13,43.44,2295900.0
2010-03-10,43.52,44.29,43.37,44.09,2833800.0,0.0,1.0,43.52,44.29,43.37,44.09,2833800.0
2010-03-11,43.99,44.2,43.56,44.19,2034800.0,0.0,1.0,43.99,44.2,43.56,44.19,2034800.0
2010-03-12,44.77,44.82,44.11,44.65,2206900.0,0.0,1.0,44.77,44.82,44.11,44.65,2206900.0
2010-03-15,44.39,44.39,43.19,43.96,2034800.0,0.0,1.0,44.39,44.39,43.19,43.96,2034800.0
2010-03-16,44.29,44.29,43.7,44.02,2910200.0,0.0,1.0,44.29,44.29,43.7,44.02,2910200.0
2010-03-17,44.12,44.49,43.98,44.33,3060900.0,0.0,1.0,44.12,44.49,43.98,44.33,3060900.0
2010-03-18,44.29,44.38,42.74,43.17,2866700.0,0.0,1.0,44.29,44.38,42.74,43.17,2866700.0
2010-03-19,42.99,43.22,41.42,41.81,5238100.0,0.0,1.0,42.99,43.22,41.42,41.81,5238100.0
2010-03-22,41.39,42.44,40.81,42.27,2442700.0,0.0,1.0,41.39,42.44,40.81,42.27,2442700.0
2010-03-23,42.25,42.79,41.84,42.11,3139900.0,0.0,1.0,42.25,42.79,41.84,42.11,3139900.0
2010-03-24,41.58,42.18,41.5,41.94,2613700.0,0.0,1.0,41.58,42.18,41.5,41.94,2613700.0
2010-03-25,42.4,42.52,41.16,41.18,2670500.0,0.0,1.0,42.4,42.52,41.16,41.18,2670500.0
2010-03-26,41.38,41.85,40.89,41.1,2718700.0,0.0,1.0,41.38,41.85,40.89,41.1,2718700.0
2010-03-29,41.25,42.3899,41.18,42.21,2467800.0,0.0,1.0,41.25,42.3899,41.18,42.21,2467800.0
2010-03-30,42.49,42.87,42.08,42.75,2736000.0,0.0,1.0,42.49,42.87,42.08,42.75,2736000.0
2010-03-31,42.92,43.09,42.61,42.86,2237100.0,0.0,1.0,42.92,43.09,42.61,42.86,2237100.0
2010-04-01,43.37,44.49,43.37,44.47,3552800.0,0.0,1.0,43.37,44.49,43.37,44.47,3552800.0
2010-04-05,44.68,45.64,44.51,45.5,2424400.0,0.0,1.0,44.68,45.64,44.51,45.5,2424400.0
2010-04-06,45.23,45.7,44.8,45.65,2619700.0,0.0,1.0,45.23,45.7,44.8,45.65,2619700.0
2010-04-07,45.51,45.675,44.62,45.08,2831400.0,0.0,1.0,45.51,45.675,44.62,45.08,2831400.0
2010-04-08,44.56,45.03,44.24,44.94,2254400.0,0.0,1.0,44.56,45.03,44.24,44.94,2254400.0
2010-04-09,45.18,45.33,44.73,45.23,1639300.0,0.0,1.0,45.18,45.33,44.73,45.23,1639300.0
2010-04-12,45.31,45.95,44.9917,45.66,1489500.0,0.0,1.0,45.31,45.95,44.9917,45.66,1489500.0
2010-04-13,45.5,45.5,44.09,44.52,2894200.0,0.0,1.0,45.5,45.5,44.09,44.52,2894200.0
2010-04-14,44.85,45.83,44.42,45.74,2809100.0,0.0,1.0,44.85,45.83,44.42,45.74,2809100.0
2010-04-15,45.63,46.13,45.375,45.62,1681900.0,0.0,1.0,45.63,46.13,45.375,45.62,1681900.0
2010-04-16,45.45,45.92,44.19,44.75,3376200.0,0.0,1.0,45.45,45.92,44.19,44.75,3376200.0
2010-04-19,44.24,45.13,44.04,44.83,2414600.0,0.0,1.0,44.24,45.13,44.04,44.83,2414600.0
2010-04-20,45.29,46.52,45.15,46.04,3162500.0,0.0,1.0,45.29,46.52,45.15,46.04,3162500.0
2010-04-21,45.95,46.15,45.14,45.48,3338100.0,0.0,1.0,45.95,46.15,45.14,45.48,3338100.0
2010-04-22,44.81,45.92,44.21,45.82,3032400.0,0.0,1.0,44.81,45.92,44.21,45.82,3032400.0
2010-04-23,45.95,47.35,45.6,47.31,3749400.0,0.0,1.0,45.95,47.35,45.6,47.31,3749400.0
2010-04-26,47.41,47.44,46.86,47.1,3021700.0,0.0,1.0,47.41,47.44,46.86,47.1,3021700.0
2010-04-27,46.55,46.63,43.485,43.59,8055900.0,0.0,1.0,46.55,46.63,43.485,43.59,8055900.0
2010-04-28,44.1,44.81,43.76,44.47,4788100.0,0.0,1.0,44.1,44.81,43.76,44.47,4788100.0
2010-04-29,44.21,44.21,34.65,38.7,37949500.0,0.0,1.0,44.21,44.21,34.65,38.7,37949500.0
2010-04-30,39.09,40.91,36.0,39.46,28119400.0,0.0,1.0,39.09,40.91,36.0,39.46,28119400.0
2010-05-03,38.0,41.71,36.84,40.77,23314300.0,0.0,1.0,38.0,41.71,36.84,40.77,23314300.0
2010-05-04,40.03,40.94,38.88,39.18,8666900.0,0.0,1.0,40.03,40.94,38.88,39.18,8666900.0
2010-05-05,38.43,39.98,38.11,39.23,9969600.0,0.0,1.0,38.43,39.98,38.11,39.23,9969600.0
2010-05-06,39.03,40.26,35.0,37.76,7867900.0,0.0,1.0,39.03,40.26,35.0,37.76,7867900.0
2010-05-07,37.5,38.32,35.17,35.58,10032900.0,0.0,1.0,37.5,38.32,35.17,35.58,10032900.0
2010-05-10,36.91,37.9,35.2,35.99,14805500.0,0.0,1.0,36.91,37.9,35.2,35.99,14805500.0
2010-05-11,35.6,38.53,34.81,37.1,16332400.0,0.0,1.0,35.6,38.53,34.81,37.1,16332400.0
2010-05-12,37.76,39.52,37.48,39.46,10834600.0,0.0,1.0,37.76,39.52,37.48,39.46,10834600.0
2010-05-13,38.98,39.52,37.95,38.1,6014400.0,0.0,1.0,38.98,39.52,37.95,38.1,6014400.0
2010-05-14,37.61,37.81,36.8425,37.3,4963600.0,0.0,1.0,37.61,37.81,36.8425,37.3,4963600.0
2010-05-17,38.16,38.85,36.26,37.25,6981700.0,0.0,1.0,38.16,38.85,36.26,37.25,6981700.0
2010-05-18,37.94,38.505,36.45,36.75,6651800.0,0.0,1.0,37.94,38.505,36.45,36.75,6651800.0
