Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,33.83,33.99,33.67,33.74,11733800.0,0.0,1.0,33.83,33.99,33.67,33.74,11733800.0
2010-01-05,33.75,34.0,33.34,33.92,11079800.0,0.0,1.0,33.75,34.0,33.34,33.92,11079800.0
2010-01-06,33.52,33.92,32.84,33.42,19189800.0,0.0,1.0,33.52,33.92,32.84,33.42,19189800.0
2010-01-07,33.11,34.02,33.11,33.87,10939200.0,0.0,1.0,33.11,34.02,33.11,33.87,10939200.0
2010-01-08,33.72,34.42,33.53,34.12,19770200.0,0.0,1.0,33.72,34.42,33.53,34.12,19770200.0
2010-01-11,34.22,34.22,33.43,33.65,12840000.0,0.0,1.0,34.22,34.22,33.43,33.65,12840000.0
2010-01-12,33.59,33.65,32.85,33.04,13371000.0,0.0,1.0,33.59,33.65,32.85,33.04,13371000.0
2010-01-13,33.0,33.7,33.0,33.5,8766600.0,0.0,1.0,33.0,33.7,33.0,33.5,8766600.0
2010-01-14,33.21,33.69,33.21,33.54,5038600.0,0.0,1.0,33.21,33.69,33.21,33.54,5038600.0
2010-01-15,33.9,33.96,32.58,33.32,10995300.0,0.0,1.0,33.9,33.96,32.58,33.32,10995300.0
2010-01-19,33.37,33.9,33.19,33.68,6308100.0,0.0,1.0,33.37,33.9,33.19,33.68,6308100.0
2010-01-20,33.36,33.6,32.75,33.18,12054700.0,0.0,1.0,33.36,33.6,32.75,33.18,12054700.0
2010-01-21,33.29,33.29,32.04,32.13,17951500.0,0.0,1.0,33.29,33.29,32.04,32.13,17951500.0
2010-01-22,31.89,32.0,31.2,31.38,15192700.0,0.0,1.0,31.89,32.0,31.2,31.38,15192700.0
2010-01-25,31.46,31.5,30.84,31.09,12569400.0,0.0,1.0,31.46,31.5,30.84,31.09,12569400.0
2010-01-26,30.89,31.09,30.46,30.67,9237500.0,0.0,1.0,30.89,31.09,30.46,30.67,9237500.0
2010-01-27,30.48,31.34,30.26,31.0,15794300.0,0.0,1.0,30.48,31.34,30.26,31.0,15794300.0
2010-01-28,30.81,31.13,30.335,30.64,12316500.0,0.0,1.0,30.81,31.13,30.335,30.64,12316500.0
2010-01-29,30.88,31.075,30.32,30.35,13924600.0,0.0,1.0,30.88,31.075,30.32,30.35,13924600.0
2010-02-01,30.37,31.55,30.37,31.44,10749400.0,0.0,1.0,30.37,31.55,30.37,31.44,10749400.0
2010-02-02,31.43,31.65,30.95,31.61,11052200.0,0.0,1.0,31.43,31.65,30.95,31.61,11052200.0
2010-02-03,31.43,31.62,31.19,31.28,10114600.0,0.0,1.0,31.43,31.62,31.19,31.28,10114600.0
2010-02-04,31.17,31.18,30.46,30.47,12051400.0,0.0,1.0,31.17,31.18,30.46,30.47,12051400.0
2010-02-05,30.47,31.0799,29.83,30.62,11668500.0,0.0,1.0,30.47,31.0799,29.83,30.62,11668500.0
2010-02-08,30.65,30.65,30.25,30.34,9400400.0,0.0,1.0,30.65,30.65,30.25,30.34,9400400.0
2010-02-09,30.77,31.68,30.77,31.14,9434600.0,0.0,1.0,30.77,31.68,30.77,31.14,9434600.0
2010-02-10,30.99,31.33,30.86,30.93,6688300.0,0.0,1.0,30.99,31.33,30.86,30.93,6688300.0
2010-02-11,30.89,31.415,30.76,31.23,5863400.0,0.0,1.0,30.89,31.415,30.76,31.23,5863400.0
2010-02-12,30.52,30.98,30.52,30.69,9035500.0,0.0,1.0,30.52,30.98,30.52,30.69,9035500.0
2010-02-16,30.88,31.37,30.71,30.9,8248700.0,0.0,1.0,30.88,31.37,30.71,30.9,8248700.0
2010-02-17,30.97,31.83,30.875,31.65,13329800.0,0.0,1.0,30.97,31.83,30.875,31.65,13329800.0
2010-02-18,31.85,33.48,31.8,32.96,27396300.0,0.0,1.0,31.85,33.48,31.8,32.96,27396300.0
2010-02-19,32.9,33.81,32.9,33.64,12353100.0,0.0,1.0,32.9,33.81,32.9,33.64,12353100.0
2010-02-22,33.75,34.04,33.63,33.71,8546200.0,0.0,1.0,33.75,34.04,33.63,33.71,8546200.0
2010-02-23,33.55,34.19,33.355,33.42,11343400.0,0.0,1.0,33.55,34.19,33.355,33.42,11343400.0
2010-02-24,33.71,33.845,33.44,33.59,10519100.0,0.0,1.0,33.71,33.845,33.44,33.59,10519100.0
2010-02-25,33.41,33.65,33.22,33.53,11228700.0,0.0,1.0,33.41,33.65,33.22,33.53,11228700.0
2010-02-26,33.66,33.97,33.28,33.85,7741500.0,0.0,1.0,33.66,33.97,33.28,33.85,7741500.0
2010-03-01,33.73,34.6,33.73,34.21,9356800.0,0.0,1.0,33.73,34.6,33.73,34.21,9356800.0
2010-03-02,34.41,34.79,34.255,34.61,7587700.0,0.0,1.0,34.41,34.79,34.255,34.61,7587700.0
2010-03-03,34.75,34.82,34.135,34.26,8811900.0,0.0,1.0,34.75,34.82,34.135,34.26,8811900.0
2010-03-04,34.4,34.82,33.85,34.74,8299900.0,0.0,1.0,34.4,34.82,33.85,34.74,8299900.0
2010-03-05,34.8,35.18,34.78,34.95,8734000.0,0.0,1.0,34.8,35.18,34.78,34.95,8734000.0
2010-03-08,34.94,34.95,34.51,34.78,6781200.0,0.0,1.0,34.94,34.95,34.51,34.78,6781200.0
2010-03-09,34.64,34.84,34.55,34.78,6933500.0,0.0,1.0,34.64,34.84,34.55,34.78,6933500.0
2010-03-10,34.71,35.06,34.6,35.05,5536800.0,0.0,1.0,34.71,35.06,34.6,35.05,5536800.0
2010-03-11,34.96,35.03,34.75,34.91,8918000.0,0.0,1.0,34.96,35.03,34.75,34.91,8918000.0
2010-03-12,34.95,34.98,34.5,34.87,6172000.0,0.0,1.0,34.95,34.98,34.5,34.87,6172000.0
2010-03-15,34.97,35.1,34.51,34.73,8005900.0,0.0,1.0,34.97,35.1,34.51,34.73,8005900.0
2010-03-16,34.53,34.96,34.53,34.68,7202200.0,0.0,1.0,34.53,34.96,34.53,34.68,7202200.0
2010-03-17,34.87,34.93,34.2,34.35,6956500.0,0.0,1.0,34.87,34.93,34.2,34.35,6956500.0
2010-03-18,34.36,34.75,34.24,34.6,5180600.0,0.0,1.0,34.36,34.75,34.24,34.6,5180600.0
2010-03-19,34.34,34.62,32.85,33.42,25872500.0,0.0,1.0,34.34,34.62,32.85,33.42,25872500.0
2010-03-22,33.28,34.2,33.17,34.0,11811500.0,0.0,1.0,33.28,34.2,33.17,34.0,11811500.0
2010-03-23,34.21,34.21,33.63,34.0,8420800.0,0.0,1.0,34.21,34.21,33.63,34.0,8420800.0
2010-03-24,34.14,34.14,33.58,33.79,9360400.0,0.0,1.0,34.14,34.14,33.58,33.79,9360400.0
2010-03-25,33.74,34.0,33.38,33.38,9995100.0,0.0,1.0,33.74,34.0,33.38,33.38,9995100.0
2010-03-26,33.38,33.64,33.17,33.46,6822800.0,0.0,1.0,33.38,33.64,33.17,33.46,6822800.0
2010-03-29,33.45,33.57,33.0,33.23,9387300.0,0.0,1.0,33.45,33.57,33.0,33.23,9387300.0
2010-03-30,33.32,33.38,32.85,32.93,10252200.0,0.0,1.0,33.32,33.38,32.85,32.93,10252200.0
2010-03-31,32.88,33.91,32.88,33.81,11536200.0,0.0,1.0,32.88,33.91,32.88,33.81,11536200.0
2010-04-01,34.14,34.36,33.96,34.27,10850100.0,0.0,1.0,34.14,34.36,33.96,34.27,10850100.0
2010-04-05,34.3,35.01,34.3,34.69,9755800.0,0.0,1.0,34.3,35.01,34.3,34.69,9755800.0
2010-04-06,34.57,34.9,34.42,34.74,5800700.0,0.0,1.0,34.57,34.9,34.42,34.74,5800700.0
2010-04-07,34.6,34.93,34.26,34.68,13369300.0,0.0,1.0,34.6,34.93,34.26,34.68,13369300.0
2010-04-08,34.73,35.1,34.55,34.76,12924600.0,0.0,1.0,34.73,35.1,34.55,34.76,12924600.0
2010-04-09,34.56,35.32,34.29,35.25,8783400.0,0.0,1.0,34.56,35.32,34.29,35.25,8783400.0
2010-04-12,35.4,35.79,35.24,35.3,10056200.0,0.0,1.0,35.4,35.79,35.24,35.3,10056200.0
2010-04-13,35.31,35.51,34.99,35.4,7552100.0,0.0,1.0,35.31,35.51,34.99,35.4,7552100.0
2010-04-14,35.15,36.31,35.05,36.29,16972500.0,0.0,1.0,35.15,36.31,35.05,36.29,16972500.0
2010-04-15,36.17,36.3,36.1,36.2,6675300.0,0.0,1.0,36.17,36.3,36.1,36.2,6675300.0
2010-04-16,36.12,36.32,35.39,35.55,12109800.0,0.0,1.0,36.12,36.32,35.39,35.55,12109800.0
2010-04-19,35.59,36.21,35.43,36.16,7544300.0,0.0,1.0,35.59,36.21,35.43,36.16,7544300.0
2010-04-20,36.075,36.36,36.01,36.1,7358000.0,0.0,1.0,36.075,36.36,36.01,36.1,7358000.0
2010-04-21,36.02,36.224,35.85,36.09,8369800.0,0.0,1.0,36.02,36.224,35.85,36.09,8369800.0
2010-04-22,35.97,36.24,35.61,36.18,8438800.0,0.0,1.0,35.97,36.24,35.61,36.18,8438800.0
2010-04-23,36.16,36.655,35.89,36.64,7001000.0,0.0,1.0,36.16,36.655,35.89,36.64,7001000.0
2010-04-26,36.65,37.07,36.5,37.01,7202600.0,0.0,1.0,36.65,37.07,36.5,37.01,7202600.0
2010-04-27,37.0,37.19,35.9,36.06,8578000.0,0.0,1.0,37.0,37.19,35.9,36.06,8578000.0
2010-04-28,36.11,36.24,35.35,35.71,8321700.0,0.0,1.0,36.11,36.24,35.35,35.71,8321700.0
2010-04-29,35.88,36.76,35.72,36.54,9159100.0,0.0,1.0,35.88,36.76,35.72,36.54,9159100.0
2010-04-30,36.67,37.02,36.21,36.24,13662700.0,0.0,1.0,36.67,37.02,36.21,36.24,13662700.0
2010-05-03,36.6,37.06,36.17,36.62,8690700.0,0.0,1.0,36.6,37.06,36.17,36.62,8690700.0
2010-05-04,36.16,36.34,35.11,35.59,12399900.0,0.0,1.0,36.16,36.34,35.11,35.59,12399900.0
2010-05-05,35.67,36.63,34.83,35.23,10733700.0,0.0,1.0,35.67,36.63,34.83,35.23,10733700.0
2010-05-06,35.2,37.64,31.0,34.94,23069000.0,0.0,1.0,35.2,37.64,31.0,34.94,23069000.0
2010-05-07,34.825,36.8,34.825,35.89,20547400.0,0.0,1.0,34.825,36.8,34.825,35.89,20547400.0
2010-05-10,37.03,38.44,36.875,37.45,18922600.0,0.0,1.0,37.03,38.44,36.875,37.45,18922600.0
2010-05-11,37.63,38.555,37.25,37.81,14473500.0,0.0,1.0,37.63,38.555,37.25,37.81,14473500.0
2010-05-12,38.0,38.48,37.5308,38.15,8115900.0,0.0,1.0,38.0,38.48,37.5308,38.15,8115900.0
2010-05-13,37.98,38.2881,37.63,37.63,7392100.0,0.0,1.0,37.98,38.2881,37.63,37.63,7392100.0
2010-05-14,37.565,37.67,37.02,37.34,11495800.0,0.0,1.0,37.565,37.67,37.02,37.34,11495800.0
2010-05-17,37.57,38.41,37.39,38.25,11290300.0,0.0,1.0,37.57,38.41,37.39,38.25,11290300.0
2010-05-18,38.45,38.55,37.79,38.01,9522900.0,0.0,1.0,38.45,38.55,37.79,38.01,9522900.0
2010-05-19,38.01,38.53,37.01,37.79,13301100.0,0.0,1.0,38.01,38.53,37.01,37.79,13301100.0
2010-05-20,37.0,37.72,36.3,36.5325,15574200.0,0.0,1.0,37.0,37.72,36.3,36.5325,15574200.0
2010-05-21,36.0,37.36,35.73,37.23,13494000.0,0.0,1.0,36.0,37.36,35.73,37.23,13494000.0
2010-05-24,36.81,37.31,35.99,36.78,12023500.0,0.0,1.0,36.81,37.31,35.99,36.78,12023500.0
2010-05-25,36.09,37.34,35.86,37.31,12659300.0,0.0,1.0,36.09,37.34,35.86,37.31,12659300.0
2010-05-26,37.39,38.19,37.01,37.12,11052600.0,0.0,1.0,37.39,38.19,37.01,37.12,11052600.0
2010-05-27,37.825,38.17,37.19,38.0,11025400.0,0.0,1.0,37.825,38.17,37.19,38.0,11025400.0
2010-05-28,37.755,38.235,37.48,37.69,7170400.0,0.0,1.0,37.755,38.235,37.48,37.69,7170400.0
2010-06-01,37.45,38.03,37.36,37.46,14287900.0,0.0,1.0,37.45,38.03,37.36,37.46,14287900.0
2010-06-02,37.54,38.61,37.17,38.56,14900800.0,0.0,1.0,37.54,38.61,37.17,38.56,14900800.0
2010-06-03,38.38,39.87,37.93,39.68,15022500.0,0.0,1.0,38.38,39.87,37.93,39.68,15022500.0
