Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,136.0,136.83,133.57,135.46,1636000.0,0.0,1.0,136.0,136.83,133.57,135.46,1636000.0
2010-01-05,135.43,140.6,135.1,137.4,2520900.0,0.0,1.0,135.43,140.6,135.1,137.4,2520900.0
2010-01-06,138.43,140.25,137.65,140.02,2195800.0,0.0,1.0,138.43,140.25,137.65,140.02,2195800.0
2010-01-07,141.0,142.46,138.91,140.48,2040000.0,0.0,1.0,141.0,142.46,138.91,140.48,2040000.0
2010-01-08,139.7,141.5,137.01,139.68,1582700.0,0.0,1.0,139.7,141.5,137.01,139.68,1582700.0
2010-01-11,141.0,141.24,137.77,138.24,1575400.0,0.0,1.0,141.0,141.24,137.77,138.24,1575400.0
2010-01-12,137.0,137.0,132.66,132.98,2087900.0,0.0,1.0,137.0,137.0,132.66,132.98,2087900.0
2010-01-13,133.52,134.0,129.42,132.12,1805600.0,0.0,1.0,133.52,134.0,129.42,132.12,1805600.0
2010-01-14,131.52,136.23,124.72,124.84,8294100.0,0.0,1.0,131.52,136.23,124.72,124.84,8294100.0
2010-01-15,125.89,126.5,122.5,124.07,3771900.0,0.0,1.0,125.89,126.5,122.5,124.07,3771900.0
2010-01-19,123.13,124.68,120.0,123.94,3574400.0,0.0,1.0,123.13,124.68,120.0,123.94,3574400.0
2010-01-20,120.61,122.0,118.25,119.505,3931300.0,0.0,1.0,120.61,122.0,118.25,119.505,3931300.0
2010-01-21,119.08,121.45,118.19,119.12,2870600.0,0.0,1.0,119.08,121.45,118.19,119.12,2870600.0
2010-01-22,119.54,119.54,109.77,112.39,4926800.0,0.0,1.0,119.54,119.54,109.77,112.39,4926800.0
2010-01-25,114.68,115.75,111.1,111.72,2802300.0,0.0,1.0,114.68,115.75,111.1,111.72,2802300.0
