Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,7.89,8.0,7.86,7.96,4030400.0,0.0,1.0,3.967728125400389,4.023044994068836,3.9526417066726314,4.0029297690984915,4030400.0
2010-01-05,7.96,8.02,7.86,7.91,3272900.0,0.0,1.0,4.0029297690984915,4.033102606554007,3.9526417066726314,3.9777857378855614,3272900.0
2010-01-06,7.99,7.99,7.79,7.8,4075600.0,0.0,1.0,4.01801618782625,4.01801618782625,3.9174400629745287,3.9224688692171146,4075600.0
2010-01-07,7.81,7.86,7.76,7.76,4383900.0,0.0,1.0,3.927497675459701,3.9526417066726314,3.902353644246771,3.902353644246771,4383900.0
2010-01-08,7.8,7.83,7.62,7.68,3564600.0,0.0,1.0,3.9224688692171146,3.937555287944873,3.831950356850566,3.8621231943060823,3564600.0
2010-01-11,7.75,7.75,7.65,7.66,2558500.0,0.0,1.0,3.8973248380041845,3.8973248380041845,3.8470367755783244,3.85206558182091,2558500.0
2010-01-12,7.63,7.68,7.55,7.57,2532300.0,0.0,1.0,3.8369791630931522,3.8621231943060823,3.7967487131524638,3.806806325637636,2532300.0
2010-01-13,7.64,7.64,7.56,7.62,1730500.0,0.0,1.0,3.842007969335738,3.842007969335738,3.8017775193950496,3.831950356850566,1730500.0
2010-01-14,7.67,7.67,7.6,7.62,1925100.0,0.0,1.0,3.857094388063496,3.857094388063496,3.821892744365394,3.831950356850566,1925100.0
2010-01-15,7.66,7.66,7.46,7.49,5446400.0,0.0,1.0,3.85206558182091,3.85206558182091,3.7514894569691895,3.7665758756969474,5446400.0
2010-01-19,7.54,7.68,7.49,7.65,2267700.0,0.0,1.0,3.791719906909878,3.8621231943060823,3.7665758756969474,3.8470367755783244,2267700.0
2010-01-20,7.64,7.66,7.55,7.58,2687800.0,0.0,1.0,3.842007969335738,3.85206558182091,3.7967487131524638,3.8118351318802217,2687800.0
2010-01-21,7.63,7.65,7.53,7.6,4081100.0,0.0,1.0,3.8369791630931522,3.8470367755783244,3.7866911006672916,3.821892744365394,4081100.0
2010-01-22,7.55,7.65,7.51,7.53,3340400.0,0.0,1.0,3.7967487131524638,3.8470367755783244,3.7766334881821195,3.7866911006672916,3340400.0
2010-01-25,7.64,7.65,7.55,7.62,3176600.0,0.0,1.0,3.842007969335738,3.8470367755783244,3.7967487131524638,3.831950356850566,3176600.0
2010-01-26,7.63,7.67,7.55,7.6,2804600.0,0.0,1.0,3.8369791630931522,3.857094388063496,3.7967487131524638,3.821892744365394,2804600.0
2010-01-27,7.59,7.65,7.54,7.61,2674800.0,0.0,1.0,3.816863938122808,3.8470367755783244,3.791719906909878,3.82692155060798,2674800.0
2010-01-28,7.64,7.71,7.55,7.65,4139200.0,0.0,1.0,3.842007969335738,3.8772096130338403,3.7967487131524638,3.8470367755783244,4139200.0
