Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,11.62,12.13,11.52,12.05,9276200.0,0.0,1.0,11.62,12.13,11.52,12.05,9276200.0
2010-01-05,12.05,12.78,11.99,12.73,13597200.0,0.0,1.0,12.05,12.78,11.99,12.73,13597200.0
2010-01-06,12.73,13.19,12.7,13.02,19758300.0,0.0,1.0,12.73,13.19,12.7,13.02,19758300.0
2010-01-07,12.99,13.4301,12.89,13.4,9769700.0,0.0,1.0,12.99,13.4301,12.89,13.4,9769700.0
2010-01-08,13.21,13.46,12.98,13.1,8826200.0,0.0,1.0,13.21,13.46,12.98,13.1,8826200.0
2010-01-11,13.12,13.42,12.99,13.16,9602100.0,0.0,1.0,13.12,13.42,12.99,13.16,9602100.0
2010-01-12,13.26,13.6,12.91,12.98,10680800.0,0.0,1.0,13.26,13.6,12.91,12.98,10680800.0
2010-01-13,12.95,13.25,12.55,13.21,8270500.0,0.0,1.0,12.95,13.25,12.55,13.21,8270500.0
2010-01-14,13.18,13.66,13.0493,13.61,14811200.0,0.0,1.0,13.18,13.66,13.0493,13.61,14811200.0
2010-01-15,13.46,13.52,13.18,13.39,14028600.0,0.0,1.0,13.46,13.52,13.18,13.39,14028600.0
2010-01-19,12.91,13.6,12.8,13.51,14572300.0,0.0,1.0,12.91,13.6,12.8,13.51,14572300.0
2010-01-20,13.3,13.38,13.09,13.34,17653500.0,0.0,1.0,13.3,13.38,13.09,13.34,17653500.0
2010-01-21,13.31,13.58,12.77,12.9,24254900.0,0.0,1.0,13.31,13.58,12.77,12.9,24254900.0
2010-01-22,12.72,12.93,12.3,12.41,15618200.0,0.0,1.0,12.72,12.93,12.3,12.41,15618200.0
2010-01-25,12.66,12.94,12.6,12.88,13125800.0,0.0,1.0,12.66,12.94,12.6,12.88,13125800.0
2010-01-26,12.83,13.78,12.76,13.05,17491800.0,0.0,1.0,12.83,13.78,12.76,13.05,17491800.0
2010-01-27,13.02,13.38,12.79,13.37,17504700.0,0.0,1.0,13.02,13.38,12.79,13.37,17504700.0
2010-01-28,13.51,13.845,13.0,13.63,27913400.0,0.0,1.0,13.51,13.845,13.0,13.63,27913400.0
2010-01-29,14.1,14.38,13.57,13.84,30845200.0,0.0,1.0,14.1,14.38,13.57,13.84,30845200.0
2010-02-01,14.09,14.35,13.89,14.34,15073400.0,0.0,1.0,14.09,14.35,13.89,14.34,15073400.0
2010-02-02,14.4,15.02,14.22,15.0,14272700.0,0.0,1.0,14.4,15.02,14.22,15.0,14272700.0
2010-02-03,15.2,15.2,14.5804,14.7,12641300.0,0.0,1.0,15.2,15.2,14.5804,14.7,12641300.0
2010-02-04,14.58,14.58,13.57,13.59,16622300.0,0.0,1.0,14.58,14.58,13.57,13.59,16622300.0
2010-02-05,13.51,13.905,13.07,13.85,13780900.0,0.0,1.0,13.51,13.905,13.07,13.85,13780900.0
2010-02-08,13.89,14.08,13.35,13.51,9582100.0,0.0,1.0,13.89,14.08,13.35,13.51,9582100.0
2010-02-09,13.74,14.05,13.46,14.0,12123100.0,0.0,1.0,13.74,14.05,13.46,14.0,12123100.0
2010-02-10,14.11,14.38,13.83,14.18,8038700.0,0.0,1.0,14.11,14.38,13.83,14.18,8038700.0
2010-02-11,14.16,14.41,13.91,14.36,7885300.0,0.0,1.0,14.16,14.41,13.91,14.36,7885300.0
2010-02-12,14.16,14.59,13.73,14.58,12045000.0,0.0,1.0,14.16,14.59,13.73,14.58,12045000.0
2010-02-16,14.58,14.87,14.49,14.84,6770200.0,0.0,1.0,14.58,14.87,14.49,14.84,6770200.0
2010-02-17,14.95,14.99,14.72,14.86,6381900.0,0.0,1.0,14.95,14.99,14.72,14.86,6381900.0
2010-02-18,14.73,15.78,14.72,15.27,14861400.0,0.0,1.0,14.73,15.78,14.72,15.27,14861400.0
2010-02-19,15.18,15.49,15.05,15.35,9125600.0,0.0,1.0,15.18,15.49,15.05,15.35,9125600.0
2010-02-22,15.4,15.95,15.33,15.76,9849400.0,0.0,1.0,15.4,15.95,15.33,15.76,9849400.0
2010-02-23,15.66,16.33,15.22,15.26,14611400.0,0.0,1.0,15.66,16.33,15.22,15.26,14611400.0
2010-02-24,15.44,15.95,15.43,15.77,12327600.0,0.0,1.0,15.44,15.95,15.43,15.77,12327600.0
2010-02-25,15.47,15.97,15.26,15.94,9139200.0,0.0,1.0,15.47,15.97,15.26,15.94,9139200.0
2010-02-26,15.94,15.99,15.74,15.94,9168900.0,0.0,1.0,15.94,15.99,15.74,15.94,9168900.0
2010-03-01,16.06,16.25,15.83,15.9,8251900.0,0.0,1.0,16.06,16.25,15.83,15.9,8251900.0
2010-03-02,15.95,16.3,15.892,16.11,7591600.0,0.0,1.0,15.95,16.3,15.892,16.11,7591600.0
2010-03-03,16.14,16.345,15.76,15.77,10876300.0,0.0,1.0,16.14,16.345,15.76,15.77,10876300.0
2010-03-04,15.77,16.13,15.77,16.02,7767900.0,0.0,1.0,15.77,16.13,15.77,16.02,7767900.0
2010-03-05,16.12,16.49,16.1,16.39,7079800.0,0.0,1.0,16.12,16.49,16.1,16.39,7079800.0
2010-03-08,16.42,16.52,16.21,16.27,5624100.0,0.0,1.0,16.42,16.52,16.21,16.27,5624100.0
2010-03-09,16.19,16.52,16.12,16.37,6888000.0,0.0,1.0,16.19,16.52,16.12,16.37,6888000.0
2010-03-10,16.42,16.67,16.21,16.5,7950000.0,0.0,1.0,16.42,16.67,16.21,16.5,7950000.0
