Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,31.06,31.17,30.83,30.94,2887600.0,0.0,1.0,25.393164940824782,25.48309566019023,25.20512798215158,25.29505870151703,2887600.0
2010-01-05,31.01,31.12,30.7,30.96,3449300.0,0.0,1.0,25.352287341113218,25.442218060478666,25.098846222901507,25.311409741401654,3449300.0
2010-01-06,30.81,31.21,30.34,30.48,4056300.0,0.0,1.0,25.188776942266955,25.51579773995948,24.804527504978235,24.91898478417062,4056300.0
2010-01-07,30.35,30.58,30.05,30.5,2967600.0,0.0,1.0,24.81270302492055,25.00073998359375,24.567437426651153,24.935335824055244,2967600.0
2010-01-08,30.48,31.01,30.23,30.89,3149000.0,0.0,1.0,24.91898478417062,25.352287341113218,24.71459678561279,25.25418110180546,3149000.0
2010-01-11,30.95,31.13,30.5,30.64,4499400.0,0.0,1.0,25.303234221459338,25.450393580420975,24.935335824055244,25.04979310324763,4499400.0
2010-01-12,30.47,30.47,29.91,30.23,5654800.0,0.0,1.0,24.910809264228305,24.910809264228305,24.452980147458767,24.71459678561279,5654800.0
2010-01-13,30.48,30.52,29.23,29.87,9883700.0,0.0,1.0,24.91898478417062,24.951686863939873,23.89704479138147,24.420278067689516,9883700.0
2010-01-14,29.85,30.04,29.24,29.71,4976500.0,0.0,1.0,24.40392702780489,24.559261906708837,23.90522031132378,24.289469748612504,4976500.0
2010-01-15,29.84,29.84,28.57,28.72,7894700.0,0.0,1.0,24.395751507862574,24.395751507862574,23.357460475188798,23.480093274323497,7894700.0
2010-01-19,28.76,29.2,28.73,29.0,4129600.0,0.0,1.0,23.512795354092752,23.87251823155453,23.48826879426581,23.709007832708267,4129600.0
2010-01-20,28.73,28.88,28.28,28.71,5042000.0,0.0,1.0,23.48826879426581,23.610901593400506,23.120370396861716,23.471917754381185,5042000.0
2010-01-21,28.75,29.05,28.42,28.575,4826800.0,0.0,1.0,23.504619834150436,23.749885432419834,23.234827676054103,23.361548235159955,4826800.0
2010-01-22,28.36,28.55,27.31,27.37,6432700.0,0.0,1.0,23.185774556400222,23.341109435304173,22.327344962457335,22.376398082111216,6432700.0
2010-01-25,27.44,27.8,27.38,27.68,3719300.0,0.0,1.0,22.43362672170741,22.727945439630684,22.38457360205353,22.629839200322923,3719300.0
2010-01-26,27.54,27.8,27.27,27.3,3653200.0,0.0,1.0,22.51538192113054,22.727945439630684,22.294642882688084,22.319169442515022,3653200.0
2010-01-27,27.28,27.5794,26.82,27.37,5240300.0,0.0,1.0,22.302818402630397,22.547593469703255,21.92674448528399,22.376398082111216,5240300.0
2010-01-28,27.4,27.4,26.27,26.72,6438500.0,0.0,1.0,22.400924641938154,22.400924641938154,21.477090888456765,21.844989285860855,6438500.0
2010-01-29,26.88,27.21,25.87,26.1,7939100.0,0.0,1.0,21.975797604937867,22.245589763034204,21.15007009076424,21.33810704943744,7939100.0
2010-02-01,26.035,27.05,26.035,27.04,5502600.0,0.0,1.0,21.284966169812403,22.114781443957195,21.284966169812403,22.10660592401488,5502600.0
2010-02-02,26.97,27.19,26.77,27.06,5176100.0,0.0,1.0,22.049377284418686,22.229238723149578,21.885866885572423,22.122956963899505,5176100.0
2010-02-03,26.91,27.15,26.765,27.01,2942300.0,0.0,1.0,22.00032416476481,22.196536643380323,21.881779125601266,22.08207936418794,2942300.0
2010-02-04,26.73,26.84,25.94,26.11,4933700.0,0.0,1.0,21.85316480580317,21.943095525168616,21.207298730360428,21.346282569379753,4933700.0
2010-02-05,26.1,26.73,25.94,26.6,5701500.0,0.0,1.0,21.33810704943744,21.85316480580317,21.207298730360428,21.7468830465531,5701500.0
2010-02-08,26.41,26.81,26.16,26.43,4050200.0,0.0,1.0,21.591548167649147,21.918568965341674,21.38716016909132,21.607899207533773,4050200.0
2010-02-09,26.84,27.0,26.46,26.67,4184300.0,0.0,1.0,21.943095525168616,22.073903844245628,21.632425767360715,21.804111686149295,4184300.0
2010-02-10,26.56,26.81,26.23,26.59,3305800.0,0.23,1.0,21.90200577394294,22.108161701785022,21.62987994919139,21.92674448528399,3305800.0
2010-02-11,26.51,27.26,26.3,27.15,4395500.0,0.0,1.0,21.860774588374525,22.479242371900774,21.687603608987175,22.388533763650255,4395500.0
2010-02-12,26.95,27.61,26.61,27.25,4989900.0,0.0,1.0,22.22360902137659,22.76786067087969,21.943236959511356,22.47099613478709,4989900.0
2010-02-16,27.35,27.55,27.08,27.48,4232200.0,0.0,1.0,22.553458505923924,22.71838324819759,22.33081010385447,22.660659588401806,4232200.0
2010-02-17,27.92,28.0,27.35,27.69,3921500.0,0.0,1.0,23.023494021403874,23.08946391831334,22.553458505923924,22.833830567789157,3921500.0
2010-02-18,27.77,27.8,27.4,27.74,4212100.0,0.0,1.0,22.89980046469862,22.924539176039673,22.594689691492338,22.87506175335757,4212100.0
2010-02-19,27.71,27.98,27.51,27.75,3790200.0,0.0,1.0,22.850323042016523,23.072971444085972,22.685398299742857,22.883307990471256,3790200.0
2010-02-22,27.81,27.8945,27.4,27.58,2631700.0,0.0,1.0,22.932785413153354,23.00246611676398,22.594689691492338,22.743121959538637,2631700.0
2010-02-23,27.41,27.7,26.84,27.02,5262100.0,0.0,1.0,22.602935928606023,22.842076804902838,22.132900413126073,22.281332681172373,5262100.0
2010-02-24,27.22,27.74,27.18,27.61,2994300.0,0.0,1.0,22.44625742344604,22.87506175335757,22.413272474991306,22.76786067087969,2994300.0
2010-02-25,27.28,27.43,26.74,27.4,4663200.0,0.0,1.0,22.49573484612814,22.61942840283339,22.05043804198924,22.594689691492338,4663200.0
2010-02-26,27.35,27.44,26.92,27.17,2850500.0,0.0,1.0,22.553458505923924,22.627674639947074,22.19887031003554,22.405026237877625,2850500.0
2010-03-01,27.21,27.69,27.12,27.63,4154600.0,0.0,1.0,22.438011186332357,22.833830567789157,22.363795052309207,22.784353145107055,4154600.0
2010-03-02,27.68,27.95,27.42,27.48,2576100.0,0.0,1.0,22.825584330675472,23.04823273274492,22.611182165719708,22.660659588401806,2576100.0
2010-03-03,27.62,27.76,27.06,27.18,3605300.0,0.0,1.0,22.776106907993373,22.89155422758494,22.314317629627105,22.413272474991306,3605300.0
2010-03-04,27.25,27.25,26.77,27.02,4617900.0,0.0,1.0,22.47099613478709,22.47099613478709,22.07517675333029,22.281332681172373,4617900.0
2010-03-05,27.09,27.56,26.86,27.51,3701700.0,0.0,1.0,22.339056340968156,22.72662948531127,22.14939288735344,22.685398299742857,3701700.0
2010-03-08,27.5,27.62,27.22,27.24,2330900.0,0.0,1.0,22.677152062629172,22.776106907993373,22.44625742344604,22.462749897673405,2330900.0
2010-03-09,27.07,27.31,26.95,27.27,3810400.0,0.0,1.0,22.32256386674079,22.520473557469188,22.22360902137659,22.487488609014456,3810400.0
2010-03-10,27.23,28.085,27.18,28.03,6173500.0,0.0,1.0,22.454503660559723,23.159556933779648,22.413272474991306,23.11420262965439,6173500.0
2010-03-11,27.9,28.08,27.44,27.68,3926500.0,0.0,1.0,23.007001547176504,23.155433815222803,22.627674639947074,22.825584330675472,3926500.0
2010-03-12,27.69,27.79,27.44,27.6,2944000.0,0.0,1.0,22.833830567789157,22.916292938925988,22.627674639947074,22.759614433766007,2944000.0
2010-03-15,27.6,27.64,27.25,27.39,2488700.0,0.0,1.0,22.759614433766007,22.79259938222074,22.47099613478709,22.586443454378657,2488700.0
2010-03-16,27.51,28.54,27.41,28.49,5918200.0,0.0,1.0,22.685398299742857,23.53476072245224,22.602935928606023,23.493529536883823,5918200.0
2010-03-17,28.59,29.13,28.47,28.8,5578100.0,0.0,1.0,23.575991908020658,24.021288712159556,23.477037062656457,23.74916288740801,5578100.0
2010-03-18,28.92,28.97,28.46,28.71,2436900.0,0.0,1.0,23.84811773277221,23.889348918340623,23.468790825542776,23.67494675338486,2436900.0
2010-03-19,28.87,28.91,28.2,28.36,3964400.0,0.0,1.0,23.806886547203792,23.839871495658524,23.254388660587004,23.38632845440594,3964400.0
2010-03-22,28.32,28.9,28.27,28.84,2767400.0,0.0,1.0,23.353343505951205,23.83162525854484,23.31211232038279,23.78214783586274,2767400.0
2010-03-23,28.75,28.99,28.65,28.98,3930800.0,0.0,1.0,23.70793170183959,23.90584139256799,23.625469330702757,23.897595155454308,3930800.0
2010-03-24,28.84,28.93,28.24,28.24,4124900.0,0.0,1.0,23.78214783586274,23.85636396988589,23.28737360904174,23.28737360904174,4124900.0
2010-03-25,28.39,28.47,27.88,27.91,5128900.0,0.0,1.0,23.411067165746992,23.477037062656457,22.990509072949138,23.01524778429019,5128900.0
2010-03-26,28.16,28.27,27.75,27.96,4086700.0,0.0,1.0,23.221403712132272,23.31211232038279,22.883307990471256,23.056478969858606,4086700.0
2010-03-29,28.01,28.49,27.99,28.42,3622800.0,0.0,1.0,23.097710155427023,23.493529536883823,23.081217681199654,23.43580587708804,3622800.0
2010-03-30,28.39,28.67,28.21,28.6,2939300.0,0.0,1.0,23.411067165746992,23.641961804930126,23.26263489770069,23.584238145134343,2939300.0
2010-03-31,28.57,28.77,28.21,28.25,3918300.0,0.0,1.0,23.55949943379329,23.724424176066957,23.26263489770069,23.29561984615542,3918300.0
2010-04-01,28.31,28.93,28.18,28.41,3029400.0,0.0,1.0,23.345097268837524,23.85636396988589,23.237896186359638,23.42755963997436,3029400.0
2010-04-05,28.53,29.05,28.39,28.99,2468500.0,0.0,1.0,23.52651448533856,23.95531881525009,23.411067165746992,23.90584139256799,2468500.0
2010-04-06,28.95,28.98,28.73,28.78,2618800.0,0.0,1.0,23.872856444113257,23.897595155454308,23.691439227612225,23.732670413180642,2618800.0
