Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,55.12,56.06,55.11,55.92,1642300.0,0.0,1.0,37.125367470118,37.758492387061,37.118632098661,37.664197186666,1642300.0
2010-01-05,56.12,56.92,55.77,56.83,1787900.0,0.0,1.0,37.798904615802,38.33773433235,37.563166614813,38.277115989238,1787900.0
2010-01-06,56.85,58.03,56.55,57.7,2139200.0,0.0,1.0,38.290586732152,39.085360564059,38.088525588447,38.863093305984,2139200.0
2010-01-07,57.6,58.55,57.32,58.35,2000200.0,0.0,1.0,38.795739591415,39.435599879815,38.607149190624,39.300892450678,2000200.0
2010-01-08,58.11,59.92,57.63,59.71,2745500.0,0.0,1.0,39.139243535714,40.358345769403,38.815945705786,40.216902968809,2745500.0
2010-01-11,60.17,60.29,59.15,59.59,2579700.0,0.0,1.0,40.526730055824,40.607554513306,39.839722167226,40.136078511327,2579700.0
2010-01-12,58.15,58.58,56.5,57.47,3129900.0,0.0,1.0,39.166185021542,39.455805994186,38.054848731163,38.708179762476,3129900.0
2010-01-13,57.47,57.65,56.0,57.46,1908800.0,0.0,1.0,38.708179762476,38.829416448699,37.71808015832,38.701444391019,1908800.0
2010-01-14,57.15,57.89,56.79,57.75,1212100.0,0.0,1.0,38.492647875857,38.991065363664,38.250174503411,38.896770163268,1212100.0
2010-01-15,57.48,57.87,56.22,56.85,1969200.0,0.0,1.0,38.714915133933,38.97759462075,37.866258330371,38.290586732152,1969200.0
2010-01-19,56.48,56.94,55.87,56.85,1657600.0,0.0,1.0,38.041377988249,38.351205075264,37.630520329381,38.290586732152,1657600.0
2010-01-20,56.22,56.23,55.37,56.0,1429600.0,0.0,1.0,37.866258330371,37.872993701828,37.293751756539,37.71808015832,1429600.0
2010-01-21,55.89,55.95,53.78,54.1,2995100.0,0.0,1.0,37.643991072295,37.684403301036,36.222827694901,36.43835958152,2995100.0
2010-01-22,53.91,54.51,52.66,52.76,2360200.0,0.0,1.0,36.31038752384,36.714509811251,35.468466091735,35.535819806303,2360200.0
2010-01-25,53.3,53.72,52.47,52.8,1666200.0,0.0,1.0,35.899529864973,36.18241546616,35.340494034055,35.562761292131,1666200.0
2010-01-26,52.26,53.25,51.97,52.12,1793800.0,0.0,1.0,35.199051233461,35.865853007689,35.003725461213,35.104756033065,1793800.0
2010-01-27,51.97,52.49,51.14,51.87,2317200.0,0.0,1.0,35.003725461213,35.353964776968,34.444689630295,34.936371746644,2317200.0
2010-01-28,51.62,52.44,50.17,51.07,3173200.0,0.0,1.0,34.767987460223,35.320287919684,33.791358598981,34.397542030097,3173200.0
2010-01-29,51.63,52.02,50.72,51.08,4210300.0,0.0,1.0,34.77472283168,35.037402318497,34.161804029107,34.404277401554,4210300.0
2010-02-01,51.5,52.59,51.49,52.5,1722000.0,0.0,1.0,34.687163002741,35.421318491537,34.680427631284,35.360700148425,1722000.0
2010-02-02,52.58,53.53,52.16,53.42,2306900.0,0.0,1.0,35.41458312008,36.05444340848,35.131697518893,35.980354322455,2306900.0
2010-02-03,53.03,53.2,52.11,52.49,1766600.0,0.0,1.0,35.717674835638,35.832176150404,35.098020661608,35.353964776968,1766600.0
2010-02-04,51.87,51.98,50.23,50.38,1832100.0,0.0,1.0,34.936371746644,35.010460832669,33.831770827722,33.932801399575,1832100.0
2010-02-05,50.63,50.77,49.0,50.75,2526200.0,0.0,1.0,34.101185685996,34.195480886392,33.00332013853,34.182010143478,2526200.0
2010-02-08,50.63,51.14,50.12,50.13,2382500.0,0.0,1.0,34.101185685996,34.444689630295,33.757681741697,33.764417113154,2382500.0
2010-02-09,50.87,52.03,50.51,51.52,2441100.0,0.0,1.0,34.26283460096,35.044137689954,34.020361228514,34.700633745655,2441100.0
2010-02-10,51.4,51.66,50.35,50.9,1989900.0,0.0,1.0,34.619809288173,34.794928946051,33.912595285204,34.28304071533,1989900.0
2010-02-11,50.6,51.7,50.31,51.52,1663500.0,0.25,1.0,34.246356995789,34.990843017436,34.050083408263,34.869018032076,1663500.0
2010-02-12,50.63,51.64,50.33,51.26,1929600.0,0.0,1.0,34.266661160015,34.950234688983,34.063619517748,34.693048608777,1929600.0
2010-02-16,51.93,52.7,51.86,52.7,2032200.0,0.0,1.0,35.146508276508,35.667648491661,35.099131893312,35.667648491661,2032200.0
2010-02-17,52.81,52.87,52.04,52.48,1618900.0,0.0,1.0,35.742097093826,35.78270542228,35.220956878673,35.518751287332,1618900.0
2010-02-18,52.36,53.2,52.12,53.06,1395600.0,0.0,1.0,35.437534630425,36.006051228774,35.275101316611,35.911298462382,1395600.0
2010-02-19,52.82,53.77,52.81,53.5,1449200.0,0.0,1.0,35.748865148568,36.391830349082,35.742097093826,36.209092871041,1449200.0
2010-02-22,53.69,54.03,53.02,53.15,1790300.0,0.0,1.0,36.337685911144,36.567799772381,35.884226243413,35.972210955063,1790300.0
2010-02-23,52.98,53.1,51.75,51.78,1696500.0,0.0,1.0,35.857154024444,35.938370681351,35.024683291148,35.044987455374,1696500.0
2010-02-24,52.01,52.28,51.39,51.9,1318600.0,0.0,1.0,35.200652714446,35.383390192487,34.781033320427,35.126204112281,1318600.0
2010-02-25,50.82,51.66,50.32,51.55,1361300.0,0.0,1.0,34.395254200118,34.963770798467,34.056851463006,34.889322196303,1361300.0
2010-02-26,51.83,52.13,51.13,51.9,1992900.0,0.0,1.0,35.078827729086,35.281869371353,34.605063897128,35.126204112281,1992900.0
2010-03-01,52.33,53.29,52.19,53.25,1991600.0,0.0,1.0,35.417230466198,36.066963721454,35.322477699807,36.039891502485,1991600.0
2010-03-02,53.5,54.09,53.3,53.66,2064000.0,0.0,1.0,36.209092871041,36.608408100834,36.073731776196,36.317381746917,2064000.0
2010-03-03,53.82,54.1,53.28,53.44,1825000.0,0.0,1.0,36.425670622793,36.615176155576,36.060195666712,36.168484542588,1825000.0
2010-03-04,53.4,53.58,52.65,53.21,1698400.0,0.0,1.0,36.141412323619,36.263237308979,35.63380821795,36.012819283516,1698400.0
2010-03-05,53.69,54.25,53.62,53.9,1934500.0,0.0,1.0,36.337685911144,36.71669697671,36.290309527948,36.479815060731,1934500.0
2010-03-08,53.88,54.32,53.52,53.7,1619500.0,0.0,1.0,36.466278951247,36.764073359906,36.222628980526,36.344453965886,1619500.0
2010-03-09,53.31,53.95,53.19,53.57,1884000.0,0.0,1.0,36.080499830939,36.513655334443,35.999283174032,36.256469254237,1884000.0
2010-03-10,53.39,54.14,53.39,53.94,1552800.0,0.0,1.0,36.134644268877,36.642248374545,36.134644268877,36.5068872797,1552800.0
2010-03-11,53.72,54.04,53.5,53.79,1212300.0,0.0,1.0,36.357990075371,36.574567827123,36.209092871041,36.405366458567,1212300.0
2010-03-12,54.15,54.25,53.71,54.0,1658600.0,0.0,1.0,36.649016429288,36.71669697671,36.351222020629,36.547495608154,1658600.0
2010-03-15,53.74,53.81,52.98,53.71,1603200.0,0.0,1.0,36.371526184855,36.418902568051,35.857154024444,36.351222020629,1603200.0
2010-03-16,53.99,54.98,53.84,54.68,3902600.0,0.0,1.0,36.540727553412,37.210764972895,36.439206732278,37.007723330627,3902600.0
2010-03-17,54.99,55.98,54.94,55.62,2039400.0,0.0,1.0,37.217533027637,37.88757044712,37.183692753926,37.643920476399,2039400.0
2010-03-18,55.45,55.71,54.92,55.42,1916000.0,0.0,1.0,37.52886354578,37.704832969079,37.170156644441,37.508559381554,1916000.0
2010-03-19,55.03,55.67,54.21,55.03,2232700.0,0.0,1.0,37.244605246606,37.67776075011,36.689624757741,37.244605246606,2232700.0
2010-03-22,54.3,55.27,54.04,55.0,1301500.0,0.0,1.0,36.750537250422,37.40703856042,36.574567827123,37.224301082379,1301500.0
2010-03-23,55.13,55.55,54.73,55.27,1350200.0,0.0,1.0,37.312285794028,37.596544093203,37.041563604338,37.40703856042,1350200.0
2010-03-24,54.77,55.82,54.61,55.08,2132600.0,0.0,1.0,37.068635823307,37.779281571244,36.960346947431,37.278445520317,2132600.0
2010-03-25,55.72,55.75,53.88,53.89,2309900.0,0.0,1.0,37.711601023821,37.731905188048,36.466278951247,36.473047005989,2309900.0
2010-03-26,54.2,54.34,52.92,53.43,2351300.0,0.0,1.0,36.682856702999,36.777609469391,35.816545695991,36.161716487846,2351300.0
2010-03-29,53.79,54.98,53.63,54.98,2173300.0,0.0,1.0,36.405366458567,37.210764972895,36.297077582691,37.210764972895,2173300.0
2010-03-30,55.13,55.5,54.8,55.14,1852600.0,0.0,1.0,37.312285794028,37.562703819492,37.088939987534,37.319053848771,1852600.0
2010-03-31,55.37,56.7,55.31,56.19,2694400.0,0.0,1.0,37.474719107842,38.374870388562,37.434110779389,38.029699596707,2694400.0
2010-04-01,56.75,57.87,56.72,57.64,2549500.0,0.0,1.0,38.408710662273,39.166732793405,38.388406498046,39.011067534333,2549500.0
2010-04-05,57.9,59.66,57.74,59.47,2446200.0,0.0,1.0,39.187036957632,40.378214592268,39.078748081756,40.249621552165,2446200.0
2010-04-06,59.24,60.02,58.89,59.73,2491600.0,0.0,1.0,40.093956293093,40.621864562989,39.857074377115,40.425590975464,2491600.0
2010-04-07,59.68,59.85,59.13,59.36,2431200.0,0.0,1.0,40.391750701752,40.506807632371,40.019507690929,40.17517295,2431200.0
2010-04-08,58.71,59.93,58.52,59.76,1955500.0,0.0,1.0,39.735249391754,40.560952070309,39.606656351651,40.44589513969,1955500.0
2010-04-09,60.06,60.46,59.66,60.4,2123700.0,0.0,1.0,40.648936781958,40.919658971648,40.378214592268,40.879050643194,2123700.0
2010-04-12,60.39,61.59,60.27,61.29,3174300.0,0.0,1.0,40.872282588452,41.684449157522,40.791065931545,41.481407515255,3174300.0
