Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,111.77,112.7,110.64,112.54,922500.0,0.0,1.0,111.31713092226715,112.24336275332834,110.19170945011754,112.08401104045761,922500.0
2010-01-05,112.11,114.67,111.75,114.44,1207600.0,0.0,1.0,111.65575331211748,114.20538071804934,111.29721195815831,113.97631263079765,1207600.0
2010-01-06,113.47,115.0,112.31,114.9,1290800.0,0.0,1.0,113.01024287151878,114.53404362584524,111.8549429532059,114.43444880530105,1290800.0
2010-01-07,114.67,115.76,114.27,115.7,949200.0,0.0,1.0,114.20538071804934,115.29096426198127,113.8070014358725,115.23120736965474,949200.0
2010-01-08,114.9,117.5,114.41,117.26,842000.0,0.0,1.0,114.43444880530105,117.02391413945058,113.94643418463438,116.78488657014447,842000.0
2010-01-11,118.62,118.62,114.76,116.28,890100.0,0.0,1.0,118.13937612954577,118.13937612954577,114.29501605653914,115.80885732881117,890100.0
2010-01-12,114.53,114.53,112.92,114.49,1021500.0,0.0,1.0,114.06594796928745,114.06594796928745,112.46247135852562,114.02611004106976,1021500.0
2010-01-13,114.35,115.1,112.96,114.81,644800.0,0.0,1.0,113.88667729230785,114.63363844638945,112.50230928674328,114.34481346681125,644800.0
2010-01-14,114.11,115.68,113.9,115.34,617500.0,0.0,1.0,113.64764972300175,115.2112884055459,113.43850059985891,114.87266601569557,617500.0
2010-01-15,115.37,116.53,113.36,113.75,1293800.0,0.0,1.0,114.90254446185884,116.05784438017172,112.90068856892015,113.28910836904258,1293800.0
2010-01-19,113.7,115.17,113.224,114.11,922200.0,0.0,1.0,113.23931095877047,114.70335482077041,112.76523961298003,113.64764972300175,922200.0
2010-01-20,113.27,113.61,110.747,113.3,1083600.0,0.0,1.0,112.81105323043036,113.14967562028069,110.29827590809985,112.84093167659361,1083600.0
2010-01-21,110.0,111.13,106.65,107.35,3010100.0,0.0,1.0,109.55430259863458,110.67972407078419,106.21787611040345,106.91503985421292,3010100.0
2010-01-22,107.06,108.11,104.01,104.29,1491000.0,0.0,1.0,106.62621487463471,107.67196049034895,103.58857284803622,103.86743834556002,1491000.0
2010-01-25,105.38,105.38,101.86,103.01,1258500.0,0.0,1.0,104.95302188949192,104.95302188949192,101.44728420633562,102.59262464259409,1258500.0
2010-01-26,102.73,106.51,102.18,105.1,1861300.0,0.0,1.0,102.31375914507028,106.07844336164155,101.76598763207711,104.67415639196813,1861300.0
2010-01-27,105.13,107.57,103.69,107.14,2226700.0,0.0,1.0,104.70403483813139,107.1341484594102,103.26986942229473,106.70589073107008,2226700.0
2010-01-28,106.99,107.39,104.46,105.66,1408300.0,0.0,1.0,106.55649850025377,106.95487778243061,104.03674954048516,105.23188738701573,1408300.0
2010-01-29,106.03,107.33,104.91,105.25,1390600.0,0.0,1.0,105.60038822302931,106.89512089010408,104.48492623293413,104.82354862278446,1390600.0
2010-02-01,105.7,107.57,104.77,107.5,1053700.0,0.0,1.0,105.27172531523341,107.1341484594102,104.34549348417222,107.06443208502925,1053700.0
2010-02-02,107.83,111.3,107.19,111.19,1570800.0,0.0,1.0,107.39309499282516,110.84903526570935,106.75568814134219,110.73948096311072,1570800.0
2010-02-03,110.81,111.73,109.61,109.78,977700.0,0.0,1.0,110.36102064504271,111.27729299404947,109.16588279851216,109.33519399343731,977700.0
2010-02-04,108.89,108.89,105.65,106.4,1503800.0,0.0,1.0,108.44880009059382,108.44880009059382,105.22192790496132,105.96888905904291,1503800.0
2010-02-05,106.58,107.71,104.34,107.3,1321600.0,0.0,1.0,106.14815973602249,107.27358120817209,103.91723575583212,106.86524244394083,1321600.0
2010-02-08,107.48,107.48,105.18,105.95,924000.0,0.0,1.0,107.04451312092041,107.04451312092041,104.75383224840351,105.52071236659395,924000.0
