Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,20.66,20.81,20.61,20.81,3100900.0,0.0,1.0,15.276093269506902,15.387003917639817,15.239123053462595,15.387003917639817,3100900.0
2010-01-05,20.85,20.89,20.3,20.66,4640600.0,0.0,1.0,15.416580090475263,15.446156263310705,15.009907713987904,15.276093269506902,4640600.0
2010-01-06,20.6,20.81,20.6,20.7,3617700.0,0.0,1.0,15.231729010253735,15.387003917639817,15.231729010253735,15.305669442342344,3617700.0
2010-01-07,20.64,20.81,20.53,20.81,2971700.0,0.0,1.0,15.26130518308918,15.387003917639817,15.179970707791709,15.387003917639817,2971700.0
2010-01-08,20.87,21.0,20.75,20.99,2827000.0,0.0,1.0,15.431368176892983,15.527490738608176,15.34263965838665,15.520096695399314,2827000.0
2010-01-11,21.08,21.23,20.98,21.06,3912400.0,0.0,1.0,15.586643084279064,15.697553732411981,15.512702652190455,15.571854997861342,3912400.0
2010-01-12,20.96,21.39,20.85,21.13,5282700.0,0.0,1.0,15.497914565772733,15.815858423753758,15.416580090475263,15.623613300323369,5282700.0
2010-01-13,21.49,21.76,21.42,21.7,5286600.0,0.0,1.0,15.889798855842367,16.089438022481616,15.838040553380342,16.045073763228448,5286600.0
2010-01-14,22.0,22.28,21.79,22.18,4696700.0,0.0,1.0,16.26689505949428,16.47392826934239,16.1116201521082,16.39998783725378,4696700.0
2010-01-15,22.37,22.37,21.85,22.12,4823000.0,0.0,1.0,16.540474658222138,16.540474658222138,16.155984411361366,16.355623578000614,4823000.0
2010-01-19,22.19,23.06,22.16,23.03,5972000.0,0.0,1.0,16.40738188046264,17.050663639633548,16.38519975083606,17.02848151000697,5972000.0
2010-01-20,22.85,22.94,22.675,22.74,6681000.0,0.0,1.0,16.89538873224747,16.96193512112722,16.765992976092402,16.814054256949994,6681000.0
2010-01-21,22.77,23.06,22.4,22.61,7143200.0,0.0,1.0,16.83623638657658,17.050663639633548,16.56265678784872,16.717931695234803,7143200.0
2010-01-22,22.48,22.5,21.94,21.99,7053600.0,0.0,1.0,16.62180913351961,16.636597219937332,16.222530800241113,16.25950101628542,7053600.0
2010-01-25,22.1,22.45,22.1,22.29,4378100.0,0.0,1.0,16.34083549158289,16.599627003893026,16.34083549158289,16.48132231255125,4378100.0
2010-01-26,22.1,22.52,22.1,22.26,4135700.0,0.0,1.0,16.34083549158289,16.651385306355053,16.34083549158289,16.459140182924667,4135700.0
2010-01-27,22.26,22.37,21.69,22.04,4638500.0,0.0,1.0,16.459140182924667,16.540474658222138,16.03767972001959,16.296471232329722,4638500.0
2010-01-28,22.17,22.5,21.62,21.81,3902900.0,0.0,1.0,16.39259379404492,16.636597219937332,15.985921417557561,16.12640823852592,3902900.0
2010-01-29,21.9,22.05,21.2207,21.25,5288500.0,0.0,1.0,16.19295462740567,16.303865275538584,15.69067727222774,15.712341818829703,5288500.0
2010-02-01,21.49,21.73,21.35,21.73,3889600.0,0.0,1.0,15.889798855842367,16.067255892855034,15.786282250918314,16.067255892855034,3889600.0
2010-02-02,21.77,22.02,21.48,21.98,4371300.0,0.0,1.0,16.096832065690474,16.281683145912,15.882404812633506,16.252106973076557,4371300.0
2010-02-03,21.96,22.05,21.64,21.7,3540400.0,0.0,1.0,16.237318886658837,16.303865275538584,16.000709503975283,16.045073763228448,3540400.0
2010-02-04,21.48,21.7,20.91,20.93,4884200.0,0.0,1.0,15.882404812633506,16.045073763228448,15.460944349728427,15.47573243614615,4884200.0
2010-02-05,20.97,21.15,20.37,20.99,4461800.0,0.0,1.0,15.505308608981592,15.63840138674109,15.061666016449932,15.520096695399314,4461800.0
2010-02-08,21.03,21.16,20.75,20.76,3507500.0,0.0,1.0,15.54967286823476,15.645795429949953,15.34263965838665,15.350033701595512,3507500.0
2010-02-09,21.14,21.41,20.98,21.02,5401400.0,0.0,1.0,15.63100734353223,15.830646510171478,15.512702652190455,15.542278825025898,5401400.0
2010-02-10,20.94,20.94,20.47,20.64,4497400.0,0.25,1.0,15.670664348533244,15.670664348533244,15.318935015017932,15.446156263310705,4497400.0
2010-02-11,20.56,20.76,20.44,20.72,3918700.0,0.0,1.0,15.386287440584692,15.535959497399721,15.296484206495679,15.506025086036713,3918700.0
2010-02-12,20.51,20.82,20.37,20.73,4316200.0,0.0,1.0,15.348869426380938,15.580861114444227,15.24409898661042,15.513508688877465,4316200.0
2010-02-16,20.94,21.38,20.94,21.3,3707300.0,0.0,1.0,15.670664348533244,15.9999428735263,15.670664348533244,15.940074050800291,3707300.0
2010-02-17,21.36,21.47,21.3,21.38,2753500.0,0.0,1.0,15.984975667844799,16.06729529909306,15.940074050800291,15.9999428735263,2753500.0
2010-02-18,21.35,21.5,21.16,21.49,2998300.0,0.0,1.0,15.977492065004048,16.089746107615316,15.835303611029772,16.082262504774565,2998300.0
2010-02-19,21.35,21.82,21.35,21.7,3063500.0,0.0,1.0,15.977492065004048,16.32922139851936,15.977492065004048,16.239418164430344,3063500.0
2010-02-22,21.76,21.82,21.585,21.6,2352800.0,0.0,1.0,16.284319781474853,16.32922139851936,16.153356731761704,16.16458213602283,2352800.0
2010-02-23,21.49,21.57,21.23,21.3,2495100.0,0.0,1.0,16.082262504774565,16.142131327500575,15.887688830915032,15.940074050800291,2495100.0
2010-02-24,21.31,21.75,21.19,21.72,4513100.0,0.0,1.0,15.947557653641041,16.2768361786341,15.857754419552027,16.254385370111844,4513100.0
2010-02-25,21.47,21.79,21.3,21.75,2696200.0,0.0,1.0,16.06729529909306,16.306770589997104,15.940074050800291,16.2768361786341,2696200.0
2010-02-26,21.81,21.9,21.62,21.8,2483900.0,0.0,1.0,16.321737795678604,16.389090221245368,16.179549341704334,16.314254192837858,2483900.0
2010-03-01,21.9,22.1067,21.86,21.98,3255100.0,0.0,1.0,16.389090221245368,16.5437762919637,16.359155809882363,16.448959043971378,3255100.0
2010-03-02,22.02,22.12,21.88,21.98,3300400.0,0.0,1.0,16.478893455334383,16.553729483741897,16.374123015563864,16.448959043971378,3300400.0
2010-03-03,21.99,22.11,21.82,21.88,2741000.0,0.0,1.0,16.45644264681213,16.546245880901147,16.32922139851936,16.374123015563864,2741000.0
2010-03-04,21.88,22.0,21.61,21.72,3087600.0,0.0,1.0,16.374123015563864,16.463926249652882,16.17206573886358,16.254385370111844,3087600.0
2010-03-05,21.83,22.13,21.78,22.1,3147100.0,0.0,1.0,16.33670500136011,16.561213086582647,16.299286987156353,16.538762278060396,3147100.0
2010-03-08,22.1,22.24,22.0,22.07,1976900.0,0.0,1.0,16.538762278060396,16.64353271783091,16.463926249652882,16.51631146953814,1976900.0
2010-03-09,21.86,22.09,21.83,22.0,2371500.0,0.0,1.0,16.359155809882363,16.531278675219642,16.33670500136011,16.463926249652882,2371500.0
