Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,24.62,24.85,24.46,24.5,4008800.0,0.0,1.0,18.926830555569,19.103644975868,18.803829219708,18.834579553673,4008800.0
2010-01-05,24.19,24.57,24.16,24.52,5913500.0,0.0,1.0,18.596264465443,18.888392638112,18.573201714969,18.849954720656,5913500.0
2010-01-06,24.41,24.73,24.4,24.58,6908700.0,0.0,1.0,18.765391302251,19.011393973973,18.75770371876,18.896080221603,6908700.0
2010-01-07,24.19,24.93,24.19,24.9,8528300.0,0.0,1.0,18.596264465443,19.165145643799,18.596264465443,19.142082893325,8528300.0
2010-01-08,24.99,25.48,24.8,25.47,10281500.0,0.0,1.0,19.211271144746,19.58796273582,19.065207058412,19.580275152329,10281500.0
2010-01-11,25.35,25.46,25.24,25.45,5503400.0,0.0,1.0,19.488024150433,19.572587568837,19.403460732029,19.564899985346,5503400.0
2010-01-12,25.26,25.42,24.88,25.01,5108500.0,0.0,1.0,19.418835899011,19.541837234872,19.126707726342,19.226646311729,5108500.0
2010-01-13,25.21,25.46,25.04,25.33,5052000.0,0.0,1.0,19.380397981555,19.572587568837,19.249709062203,19.47264898345,5052000.0
2010-01-14,25.17,25.27,24.905,25.0,3657100.0,0.0,1.0,19.34964764759,19.426523482503,19.14592668507,19.218958728238,3657100.0
2010-01-15,25.59,26.0,25.08,25.11,9038800.0,0.0,1.0,19.672526154224,19.987717077367,19.280459396168,19.303522146642,9038800.0
2010-01-19,25.06,25.44,25.02,25.38,7497700.0,0.0,1.0,19.265084229186,19.557212401855,19.23433389522,19.511086900907,7497700.0
2010-01-20,25.165,25.26,24.6,24.81,6377700.0,0.0,1.0,19.345803855844,19.418835899011,18.911455388586,19.072894641903,6377700.0
2010-01-21,24.72,25.01,24.53,24.605,8937200.0,0.0,1.0,19.003706390481,19.226646311729,18.857642304147,18.915299180332,8937200.0
2010-01-22,24.63,24.78,24.08,24.11,7594600.0,0.0,1.0,18.93451813906,19.049831891429,18.511701047039,18.534763797512,7594600.0
2010-01-25,24.27,24.27,23.89,24.02,6108100.0,0.0,1.0,18.657765133373,18.657765133373,18.365636960704,18.465575546091,6108100.0
2010-01-26,23.88,24.12,23.725,23.87,8296200.0,0.0,1.0,18.357949377213,18.542451381004,18.238791833098,18.350261793721,8296200.0
2010-01-27,23.7,23.83,23.34,23.7,12267100.0,0.0,1.0,18.219572874369,18.319511459756,17.942819868683,18.219572874369,12267100.0
2010-01-28,23.82,23.92,23.65,23.71,9678700.0,0.0,1.0,18.311823876265,18.388699711178,18.181134956913,18.227260457861,9678700.0
2010-01-29,24.16,24.16,23.45,23.46,11270500.0,0.0,1.0,18.573201714969,18.573201714969,18.027383287087,18.035070870578,11270500.0
2010-02-01,23.44,23.625,23.29,23.5,6881500.0,0.0,1.0,18.019695703596,18.161915998185,17.904381951226,18.065821204543,6881500.0
2010-02-02,23.54,24.07,23.4,24.0,7205400.0,0.0,1.0,18.096571538509,18.504013463547,17.988945369631,18.450200379108,7205400.0
2010-02-03,23.86,23.99,23.72,23.84,4730700.0,0.0,1.0,18.34257421023,18.442512795617,18.234948041352,18.327199043248,4730700.0
2010-02-04,23.67,23.74,23.29,23.32,8185500.0,0.0,1.0,18.196510123896,18.250323208335,17.904381951226,17.9274447017,8185500.0
2010-02-05,23.37,23.575,23.19,23.47,9698600.0,0.0,1.0,17.965882619157,18.123478080728,17.827506116313,18.04275845407,9698600.0
2010-02-08,23.29,23.54,23.17,23.19,4055900.0,0.0,1.0,17.904381951226,18.096571538509,17.812130949331,17.827506116313,4055900.0
2010-02-09,23.46,24.03,23.2,23.88,9432000.0,0.0,1.0,18.035070870578,18.473263129582,17.835193699805,18.357949377213,9432000.0
2010-02-10,23.81,23.96,23.5575,23.74,5799800.0,0.0,1.0,18.304136292774,18.419450045143,18.110024809618,18.250323208335,5799800.0
2010-02-11,23.61,24.16,23.48,24.12,5043000.0,0.0,1.0,18.150384622948,18.573201714969,18.050446037561,18.542451381004,5043000.0
2010-02-12,23.82,24.24,23.7805,24.18,6851200.0,0.0,1.0,18.311823876265,18.634702382899,18.281457921474,18.588576881952,6851200.0
2010-02-16,24.38,24.82,24.29,24.78,5956300.0,0.0,1.0,18.742328551777,19.080582225394,18.673140300356,19.049831891429,5956300.0
2010-02-17,24.9,25.15,24.825,25.05,4756300.0,0.0,1.0,19.142082893325,19.334272480607,19.08442601714,19.257396645694,4756300.0
2010-02-18,25.03,25.35,24.85,25.27,6331200.0,0.0,1.0,19.242021478712,19.488024150433,19.103644975868,19.426523482503,6331200.0
2010-02-19,25.35,25.83,25.12,25.68,8454400.0,0.0,1.0,19.488024150433,19.857028158015,19.311209730133,19.741714405646,8454400.0
2010-02-22,25.66,25.75,25.43,25.54,4939800.0,0.0,1.0,19.726339238663,19.795527490085,19.549524818363,19.634088236768,4939800.0
2010-02-23,25.45,25.75,25.39,25.41,5989400.0,0.0,1.0,19.564899985346,19.795527490085,19.518774484398,19.534149651381,5989400.0
2010-02-24,25.6,25.755,25.5,25.69,5209600.0,0.0,1.0,19.680213737715,19.799371281831,19.603337902803,19.749401989137,5209600.0
2010-02-25,25.49,25.97,25.26,25.93,6624500.0,0.0,1.0,19.595650319311,19.964654326893,19.418835899011,19.933903992928,6624500.0
2010-02-26,25.79,25.92,25.63,25.76,6995000.0,0.0,1.0,19.82627782405,19.926216409437,19.703276488189,19.803215073576,6995000.0
2010-03-01,25.77,26.0,25.55,25.86,10138700.0,0.0,1.0,19.810902657067,19.987717077367,19.641775820259,19.880090908489,10138700.0
2010-03-02,23.99,24.26,23.21,23.25,49567700.0,0.0,1.0,18.442512795617,18.650077549882,17.842881283296,17.873631617261,49567700.0
2010-03-03,23.0,23.1,22.0,22.56,40574200.0,0.0,1.0,17.681442029979,17.758317864892,16.912683680849,17.343188356362,40574200.0
2010-03-04,22.61,23.07,22.6,22.95,16094900.0,0.0,1.0,17.381626273818,17.735255114418,17.373938690327,17.643004112522,16094900.0
2010-03-05,23.09,23.49,22.9912,23.29,14751100.0,0.0,1.0,17.7506302814,18.058133621052,17.674676956506,17.904381951226,14751100.0
2010-03-08,23.21,23.33,22.74,22.75,15463700.0,0.0,1.0,17.842881283296,17.935132285191,17.481564859205,17.489252442696,15463700.0
2010-03-09,22.74,23.04,22.62,22.91,18636600.0,0.0,1.0,17.481564859205,17.712192363944,17.38931385731,17.612253778557,18636600.0
2010-03-10,23.02,23.08,22.72,22.96,14815400.0,0.0,1.0,17.696817196961,17.742942697909,17.466189692222,17.650691696014,14815400.0
2010-03-11,22.9,23.21,22.76,23.14,13977800.0,0.0,1.0,17.604566195066,17.842881283296,17.496940026188,17.789068198857,13977800.0
2010-03-12,23.19,23.52,23.04,23.42,9976500.0,0.0,1.0,17.827506116313,18.081196371526,17.712192363944,18.004320536613,9976500.0
2010-03-15,23.41,23.47,23.11,23.41,6952200.0,0.0,1.0,17.996632953122,18.04275845407,17.766005448383,17.996632953122,6952200.0
2010-03-16,23.43,23.66,23.22,23.63,8399000.0,0.0,1.0,18.012008120104,18.188822540404,17.850568866787,18.16575978993,8399000.0
2010-03-17,23.61,23.75,23.47,23.72,7959500.0,0.0,1.0,18.150384622948,18.258010791826,18.04275845407,18.234948041352,7959500.0
2010-03-18,23.75,23.9,23.58,23.75,7607200.0,0.0,1.0,18.258010791826,18.373324544195,18.127321872474,18.258010791826,7607200.0
2010-03-19,23.9,24.06,23.61,23.75,10872500.0,0.0,1.0,18.373324544195,18.496325880056,18.150384622948,18.258010791826,10872500.0
2010-03-22,23.65,24.22,23.62,24.12,7192500.0,0.0,1.0,18.181134956913,18.619327215917,18.158072206439,18.542451381004,7192500.0
2010-03-23,24.3,24.3,23.87,24.06,6902700.0,0.0,1.0,18.680827883847,18.680827883847,18.350261793721,18.496325880056,6902700.0
2010-03-24,23.95,24.0,23.52,23.56,8985700.0,0.09,1.0,18.482096019442,18.520680771049,18.150267155628,18.181134956913,8985700.0
2010-03-25,23.67,23.85,23.5,23.54,7094000.0,0.0,1.0,18.266021410447,18.40492651623,18.134833254985,18.16570105627,7094000.0
2010-03-26,23.55,23.8,23.55,23.77,5938700.0,0.0,1.0,18.173418006592,18.366341764623,18.173418006592,18.34319091366,5938700.0
2010-03-29,23.85,23.96,23.63,23.75,5906400.0,0.0,1.0,18.40492651623,18.489812969764,18.235153609162,18.327757013017,5906400.0
2010-03-30,23.92,23.92,23.49,23.6,5187800.0,0.0,1.0,18.458945168479,18.458945168479,18.127116304664,18.212002758198,5187800.0
2010-03-31,23.54,23.63,23.39,23.4075,6701800.0,0.0,1.0,18.16570105627,18.235153609162,18.049946801451,18.063451464514,6701800.0
2010-04-01,23.52,23.75,23.48,23.7,7265100.0,0.0,1.0,18.150267155628,18.327757013017,18.119399354343,18.289172261411,7265100.0
2010-04-05,23.58,24.07,23.58,24.05,7629800.0,0.0,1.0,18.196568857555,18.574699423298,18.196568857555,18.559265522655,7629800.0
2010-04-06,24.04,24.1371,23.87,24.01,8815900.0,0.0,1.0,18.551548572334,18.626480159953,18.420360416872,18.52839772137,8815900.0
2010-04-07,24.0,24.46,23.91,24.4,10306800.0,0.0,1.0,18.520680771049,18.875660485827,18.451228218157,18.8293587839,10306800.0
2010-04-08,24.32,24.42,24.09,24.19,6936100.0,0.0,1.0,18.767623181329,18.844792684542,18.59013332394,18.667302827153,6936100.0
2010-04-09,24.18,24.33,24.1,24.3,4784100.0,0.0,1.0,18.659585876832,18.775340131651,18.597850274262,18.752189280687,4784100.0
2010-04-12,24.4,24.41,24.18,24.2,3946600.0,0.0,1.0,18.8293587839,18.837075734221,18.659585876832,18.675019777474,3946600.0
2010-04-13,24.16,24.24,23.66,23.83,14298000.0,0.0,1.0,18.644151976189,18.705887578759,18.258304460126,18.389492615587,14298000.0
2010-04-14,23.79,24.46,23.71,24.38,12746000.0,0.0,1.0,18.358624814302,18.875660485827,18.296889211732,18.813924883257,12746000.0
2010-04-15,24.3,24.52,24.13,24.48,9536100.0,0.0,1.0,18.752189280687,18.921962187755,18.621001125225,18.89109438647,9536100.0
2010-04-16,24.46,24.65,24.09,24.26,11331200.0,0.0,1.0,18.875660485827,19.022282541931,18.59013332394,18.721321479402,11331200.0
2010-04-19,24.12,24.43,23.865,24.18,8186000.0,0.0,1.0,18.613284174904,18.852509634863,18.416501941712,18.659585876832,8186000.0
2010-04-20,24.22,24.45,24.0,24.01,7145400.0,0.0,1.0,18.690453678117,18.867943535506,18.520680771049,18.52839772137,7145400.0
2010-04-21,23.92,24.36,23.85,24.31,6564900.0,0.0,1.0,18.458945168479,18.798490982615,18.40492651623,18.759906231008,6564900.0
2010-04-22,24.15,24.51,23.96,24.43,6774400.0,0.0,1.0,18.636435025868,18.914245237434,18.489812969764,18.852509634863,6774400.0
2010-04-23,24.3,24.68,24.21,24.61,6800100.0,0.0,1.0,18.752189280687,19.045433392895,18.682736727795,18.991414740646,6800100.0
2010-04-26,24.57,25.0,24.49,24.86,7676800.0,0.0,1.0,18.960546939361,19.292375803176,18.898811336791,19.184338498678,7676800.0
2010-04-27,24.605,24.68,23.7,23.73,11418200.0,0.0,1.0,18.987556265486,19.045433392895,18.289172261411,18.312323112375,11418200.0
2010-04-28,23.85,24.12,23.49,23.56,8431100.0,0.0,1.0,18.40492651623,18.613284174904,18.127116304664,18.181134956913,8431100.0
2010-04-29,23.72,24.02,23.67,23.97,8458400.0,0.0,1.0,18.304606162053,18.536114671691,18.266021410447,18.497529920085,8458400.0
2010-04-30,24.06,24.06,23.36,23.5375,9102000.0,0.0,1.0,18.566982472976,18.566982472976,18.026795950488,18.16377181869,9102000.0
2010-05-03,23.59,23.97,23.52,23.73,6023300.0,0.0,1.0,18.204285807877,18.497529920085,18.150267155628,18.312323112375,6023300.0
2010-05-04,23.52,23.53,22.85,23.26,11574000.0,0.0,1.0,18.150267155628,18.157984105949,17.633231484103,17.949626447275,11574000.0
2010-05-05,23.31,23.49,23.03,23.19,8414100.0,0.0,1.0,17.988211198881,18.127116304664,17.772136589886,17.895607795026,8414100.0
2010-05-06,23.02,23.06,20.65,21.88,28161800.0,0.0,1.0,17.764419639564,17.795287440849,15.935502413423,16.884687302939,28161800.0
2010-05-07,21.71,22.48,20.87,21.66,26872800.0,0.0,1.0,16.753499147478,17.347704322216,16.105275320491,16.714914395872,26872800.0
2010-05-10,22.39,22.85,22.0,22.54,14009400.0,0.0,1.0,17.278251769324,17.633231484103,16.977290706795,17.394006024143,14009400.0
2010-05-11,22.08,22.74,22.08,22.38,9767200.0,0.0,1.0,17.039026309365,17.548345030569,17.039026309365,17.270534819003,9767200.0
2010-05-12,22.5,23.14,22.36,23.07,9045500.0,0.0,1.0,17.363138222858,17.85702304342,17.25510091836,17.803004391171,9045500.0
2010-05-13,22.85,22.9,22.2,22.25,10696700.0,0.0,1.0,17.633231484103,17.671816235709,17.13162971322,17.170214464826,10696700.0
2010-05-14,22.25,22.34,21.865,22.12,10595000.0,0.0,1.0,17.170214464826,17.239667017718,16.873111877458,17.06989411065,10595000.0
2010-05-17,22.22,22.4,21.71,22.2,9273800.0,0.0,1.0,17.147063613863,17.285968719646,16.753499147478,17.13162971322,9273800.0
2010-05-18,22.55,22.55,21.73,21.95,10985400.0,0.0,1.0,17.401722974465,17.401722974465,16.76893304812,16.938705955188,10985400.0
2010-05-19,21.86,22.0,21.3,21.54,21965300.0,0.0,1.0,16.869253402297,16.977290706795,16.437104184306,16.622310992016,21965300.0
2010-05-20,21.0,22.04,20.95,21.38,19743000.0,0.0,1.0,16.205595674668,17.00815850808,16.167010923061,16.498839786876,19743000.0
2010-05-21,20.87,21.95,20.85,21.52,14315900.0,0.0,1.0,16.105275320491,16.938705955188,16.089841419849,16.606877091374,14315900.0
2010-05-24,21.47,21.57,21.12,21.28,8076200.0,0.0,1.0,16.568292339767,16.64546184298,16.298199078523,16.421670283663,8076200.0
2010-05-25,20.88,21.46,20.56,21.43,10630000.0,0.0,1.0,16.112992270812,16.560575389446,15.866049860532,16.537424538482,10630000.0
2010-05-26,21.49,21.65,21.02,21.08,9318600.0,0.0,1.0,16.58372624041,16.70719744555,16.22102957531,16.267331277238,9318600.0
2010-05-27,21.71,21.81,21.335,21.8,6487800.0,0.0,1.0,16.753499147478,16.830668650691,16.46411351043,16.822951700369,6487800.0
2010-05-28,21.81,21.81,21.25,21.52,7700000.0,0.0,1.0,16.830668650691,16.830668650691,16.398519432699,16.606877091374,7700000.0
2010-06-01,21.43,21.72,21.12,21.37,9381200.0,0.0,1.0,16.537424538482,16.761216097799,16.298199078523,16.491122836555,9381200.0
2010-06-02,21.54,21.8,21.23,21.7,13773700.0,0.0,1.0,16.622310992016,16.822951700369,16.383085532057,16.745782197157,13773700.0
2010-06-03,21.8,22.06,21.69,22.01,9810100.0,0.0,1.0,16.822951700369,17.023592408722,16.738065246835,16.985007657116,9810100.0
2010-06-04,21.67,21.705,21.05,21.1425,11431800.0,0.0,1.0,16.722631346193,16.749640672317,16.244180426274,16.315562216746,11431800.0
2010-06-07,21.2,21.42,20.66,20.66,8345700.0,0.0,1.0,16.359934681093,16.529707588161,15.943219363745,15.943219363745,8345700.0
2010-06-08,20.77,21.23,20.44,21.19,11030000.0,0.0,1.0,16.028105817278,16.383085532057,15.773446456677,16.352217730772,11030000.0
2010-06-09,21.08,21.38,20.93,21.06,9792900.0,0.0,1.0,16.267331277238,16.498839786876,16.151577022419,16.251897376595,9792900.0
2010-06-10,21.31,21.9,21.3,21.89,10225400.0,0.0,1.0,16.444821134627,16.900121203582,16.437104184306,16.892404253261,10225400.0
2010-06-11,21.61,21.9,21.44,21.73,4696700.0,0.0,1.0,16.676329644265,16.900121203582,16.545141488804,16.76893304812,4696700.0
2010-06-14,21.82,22.2,21.71,21.72,5848500.0,0.0,1.0,16.838385601012,17.13162971322,16.753499147478,16.761216097799,5848500.0
2010-06-15,22.0,22.18,21.78,22.13,10033100.0,0.0,1.0,16.977290706795,17.116195812578,16.807517799727,17.077611060971,10033100.0
2010-06-16,22.0,22.54,21.98,22.5,10935700.0,0.0,1.0,16.977290706795,17.394006024143,16.961856806152,17.363138222858,10935700.0
2010-06-17,22.6,22.67,21.72,21.93,9701200.0,0.0,1.0,17.440307726071,17.49432637832,16.761216097799,16.923272054546,9701200.0
2010-06-18,22.03,22.15,21.865,21.98,7641700.0,0.0,1.0,17.000441557759,17.093044961614,16.873111877458,16.961856806152,7641700.0
2010-06-21,22.1,22.29,21.49,21.61,6059500.0,0.0,1.0,17.054460210007,17.201082266112,16.58372624041,16.676329644265,6059500.0
2010-06-22,21.55,21.93,20.88,20.9,13888000.0,0.0,1.0,16.630027942338,16.923272054546,16.112992270812,16.128426171455,13888000.0
2010-06-23,20.86,21.0,20.39,20.53,15645100.0,0.09,1.0,16.168127306035,16.276638227552,15.803840640942,15.912351562459,15645100.0
2010-06-24,20.4,20.47,19.97,20.11,10803500.0,0.0,1.0,15.811591421051,15.865846881809,15.478307876391,15.586818797908,10803500.0
2010-06-25,20.07,20.28,19.83,20.09,10619000.0,0.0,1.0,15.555815677475,15.71858205975,15.369796954874,15.571317237692,10619000.0
2010-06-28,20.2,20.24,19.83,19.86,8454200.0,0.0,1.0,15.656575818884,15.687578939317,15.369796954874,15.393049295199,8454200.0
2010-06-29,19.66,19.68,19.13,19.29,11415400.0,0.0,1.0,15.238033693032,15.253535253249,14.827242347289,14.951254829023,11415400.0
2010-06-30,19.22,19.5,18.99,19.05,8758300.0,0.0,1.0,14.896999368265,15.114021211299,14.718731425772,14.765236106422,8758300.0
2010-07-01,18.97,19.42,18.82,19.27,9279000.0,0.0,1.0,14.703229865556,15.052014970432,14.58696816393,14.935753268806,9279000.0
2010-07-02,19.36,19.4725,19.1,19.19,6790700.0,0.0,1.0,15.005510289782,15.092706566001,14.803990006964,14.873747027939,6790700.0
2010-07-06,19.27,19.59,18.88,19.12,8535600.0,0.0,1.0,14.935753268806,15.183778232274,14.63347284458,14.819491567181,8535600.0
2010-07-07,19.01,19.46,18.92,19.43,13744100.0,0.0,1.0,14.734232985989,15.083018090865,14.664475965014,15.05976575054,13744100.0
2010-07-08,19.47,19.5,19.19,19.4,7979400.0,0.0,1.0,15.090768870973,15.114021211299,14.873747027939,15.036513410215,7979400.0
2010-07-09,19.46,19.68,19.24,19.67,4803000.0,0.0,1.0,15.083018090865,15.253535253249,14.912500928481,15.245784473141,4803000.0
2010-07-12,19.63,19.82,19.53,19.63,6476900.0,0.0,1.0,15.214781352707,15.362046174766,15.137273551624,15.214781352707,6476900.0
2010-07-13,19.84,20.32,19.78,20.24,6891500.0,0.0,1.0,15.377547734983,15.749585180184,15.331043054333,15.687578939317,6891500.0
2010-07-14,20.26,20.31,19.89,20.01,6660900.0,0.0,1.0,15.703080499534,15.741834400076,15.416301635525,15.509310996825,6660900.0
2010-07-15,20.02,20.37,19.9,20.3,7402400.0,0.0,1.0,15.517061776933,15.788339080726,15.424052415633,15.734083619967,7402400.0
2010-07-16,20.3,20.42,19.29,19.31,9686800.0,0.0,1.0,15.734083619967,15.827092981267,14.951254829023,14.96675638924,9686800.0
2010-07-19,19.32,19.71,19.3,19.59,7140800.0,0.0,1.0,14.974507169348,15.276787593574,14.959005609131,15.183778232274,7140800.0
2010-07-20,19.39,19.81,19.235,19.78,4584600.0,0.0,1.0,15.028762630107,15.354295394658,14.908625538427,15.331043054333,4584600.0
2010-07-21,19.81,19.94,19.36,19.39,6849700.0,0.0,1.0,15.354295394658,15.455055536066,15.005510289782,15.028762630107,6849700.0
2010-07-22,19.62,20.16,19.62,20.08,7031900.0,0.0,1.0,15.207030572599,15.62557269845,15.207030572599,15.563566457583,7031900.0
2010-07-23,19.98,20.06,19.77,20.0,7067400.0,0.0,1.0,15.4860586565,15.548064897367,15.323292274224,15.501560216716,7067400.0
2010-07-26,19.95,20.31,19.85,20.31,5432500.0,0.0,1.0,15.462806316175,15.741834400076,15.385298515091,15.741834400076,5432500.0
2010-07-27,20.51,20.66,20.08,20.17,5357800.0,0.0,1.0,15.896850002243,16.013111703868,15.563566457583,15.633323478559,5357800.0
2010-07-28,20.06,20.21,19.875,19.98,5757500.0,0.0,1.0,15.548064897367,15.664326598992,15.404675465362,15.4860586565,5757500.0
2010-07-29,20.03,20.28,19.52,19.85,6358400.0,0.0,1.0,15.524812557042,15.71858205975,15.129522771515,15.385298515091,6358400.0
2010-07-30,19.59,20.43,19.525,20.33,9644400.0,0.0,1.0,15.183778232274,15.834843761376,15.133398161569,15.757335960292,9644400.0
2010-08-02,20.66,20.97,20.465,20.87,14161300.0,0.0,1.0,16.013111703868,16.253385887227,15.861971491755,16.175878086144,14161300.0
2010-08-03,20.69,20.83,19.84,19.94,9768600.0,0.0,1.0,16.036364044193,16.14487496571,15.377547734983,15.455055536066,9768600.0
2010-08-04,19.92,20.35,19.9,20.14,5144800.0,0.0,1.0,15.43955397585,15.772837520509,15.424052415633,15.610071138233,5144800.0
2010-08-05,20.01,20.22,19.75,20.2,3974900.0,0.0,1.0,15.509310996825,15.6720773791,15.307790714007,15.656575818884,3974900.0
2010-08-06,20.01,20.19,19.8,20.17,5364700.0,0.0,1.0,15.509310996825,15.648825038775,15.346544614549,15.633323478559,5364700.0
2010-08-09,20.23,20.41,19.94,20.05,6846400.0,0.0,1.0,15.679828159209,15.819342201159,15.455055536066,15.540314117258,6846400.0
2010-08-10,19.9,20.21,19.73,20.04,7373600.0,0.0,1.0,15.424052415633,15.664326598992,15.292289153791,15.53256333715,7373600.0
2010-08-11,19.64,19.73,19.36,19.4,5977400.0,0.0,1.0,15.222532132816,15.292289153791,15.005510289782,15.036513410215,5977400.0
2010-08-12,19.1,19.52,19.08,19.32,6663500.0,0.0,1.0,14.803990006964,15.129522771515,14.788488446747,14.974507169348,6663500.0
2010-08-13,19.24,19.33,19.06,19.11,4082400.0,0.0,1.0,14.912500928481,14.982257949456,14.772986886531,14.811740787073,4082400.0
