Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,49.69,50.83,48.84,50.83,3473200.0,0.0,1.0,49.69,50.83,48.84,50.83,3473200.0
2010-01-05,50.61,51.93,50.43,51.65,4760800.0,0.0,1.0,50.61,51.93,50.43,51.65,4760800.0
2010-01-06,51.26,51.89,50.65,51.4,4307800.0,0.0,1.0,51.26,51.89,50.65,51.4,4307800.0
2010-01-07,51.09,51.23,50.15,50.95,2841500.0,0.0,1.0,51.09,51.23,50.15,50.95,2841500.0
2010-01-08,50.46,51.52,49.931,51.47,2694400.0,0.0,1.0,50.46,51.52,49.931,51.47,2694400.0
2010-01-11,51.8,52.82,49.11,50.48,4778400.0,0.0,1.0,51.8,52.82,49.11,50.48,4778400.0
2010-01-12,49.65,49.66,48.3402,48.72,3902800.0,0.0,1.0,49.65,49.66,48.3402,48.72,3902800.0
2010-01-13,48.9,49.93,48.0,49.78,2765600.0,0.0,1.0,48.9,49.93,48.0,49.78,2765600.0
2010-01-14,49.9,50.12,48.36,49.41,3858300.0,0.0,1.0,49.9,50.12,48.36,49.41,3858300.0
2010-01-15,49.31,49.7,48.5,48.65,3278500.0,0.0,1.0,49.31,49.7,48.5,48.65,3278500.0
2010-01-19,48.29,48.785,47.22,48.71,4118400.0,0.0,1.0,48.29,48.785,47.22,48.71,4118400.0
2010-01-20,48.1,48.29,46.62,47.66,3446100.0,0.0,1.0,48.1,48.29,46.62,47.66,3446100.0
2010-01-21,47.71,48.13,46.32,46.63,4374900.0,0.0,1.0,47.71,48.13,46.32,46.63,4374900.0
2010-01-22,46.39,46.94,45.35,45.44,4101200.0,0.0,1.0,46.39,46.94,45.35,45.44,4101200.0
2010-01-25,45.91,46.83,45.6,46.32,2546200.0,0.0,1.0,45.91,46.83,45.6,46.32,2546200.0
2010-01-26,45.89,46.33,45.21,45.55,3228800.0,0.0,1.0,45.89,46.33,45.21,45.55,3228800.0
2010-01-27,45.46,45.86,43.56,44.57,3918400.0,0.0,1.0,45.46,45.86,43.56,44.57,3918400.0
2010-01-28,44.93,45.19,43.16,43.94,3698600.0,0.0,1.0,44.93,45.19,43.16,43.94,3698600.0
2010-01-29,44.46,45.16,42.57,42.88,4340400.0,0.0,1.0,44.46,45.16,42.57,42.88,4340400.0
2010-02-01,43.62,45.22,43.62,44.81,4477700.0,0.0,1.0,43.62,45.22,43.62,44.81,4477700.0
2010-02-02,44.93,45.49,44.3,45.48,4223700.0,0.0,1.0,44.93,45.49,44.3,45.48,4223700.0
2010-02-03,44.96,45.46,44.125,44.38,3359600.0,0.0,1.0,44.96,45.46,44.125,44.38,3359600.0
2010-02-04,43.78,43.78,41.81,41.88,5133300.0,0.0,1.0,43.78,43.78,41.81,41.88,5133300.0
2010-02-05,41.99,42.3,40.5,42.1,5515500.0,0.0,1.0,41.99,42.3,40.5,42.1,5515500.0
2010-02-08,41.99,42.93,41.62,41.76,3246600.0,0.0,1.0,41.99,42.93,41.62,41.76,3246600.0
2010-02-09,42.44,43.29,42.05,42.64,4205500.0,0.0,1.0,42.44,43.29,42.05,42.64,4205500.0
2010-02-10,42.64,43.445,42.0,43.05,5220300.0,0.0,1.0,42.64,43.445,42.0,43.05,5220300.0
2010-02-11,43.05,44.44,42.88,44.34,4450900.0,0.0,1.0,43.05,44.44,42.88,44.34,4450900.0
2010-02-12,43.68,44.56,43.28,44.27,3960600.0,0.0,1.0,43.68,44.56,43.28,44.27,3960600.0
2010-02-16,45.03,45.9,44.83,45.57,3754300.0,0.0,1.0,45.03,45.9,44.83,45.57,3754300.0
2010-02-17,45.76,45.95,44.87,45.7,3221500.0,0.0,1.0,45.76,45.95,44.87,45.7,3221500.0
2010-02-18,45.65,45.85,45.04,45.81,3990600.0,0.0,1.0,45.65,45.85,45.04,45.81,3990600.0
2010-02-19,45.71,45.98,45.09,45.3,4057500.0,0.0,1.0,45.71,45.98,45.09,45.3,4057500.0
2010-02-22,45.68,45.69,43.21,43.43,7098700.0,0.0,1.0,45.68,45.69,43.21,43.43,7098700.0
2010-02-23,43.34,43.34,42.07,42.49,5540300.0,0.0,1.0,43.34,43.34,42.07,42.49,5540300.0
2010-02-24,42.64,43.24,42.33,42.74,3634900.0,0.0,1.0,42.64,43.24,42.33,42.74,3634900.0
2010-02-25,41.91,43.13,41.63,42.99,4691800.0,0.0,1.0,41.91,43.13,41.63,42.99,4691800.0
2010-02-26,43.67,44.02,41.59,42.55,8346100.0,0.0,1.0,43.67,44.02,41.59,42.55,8346100.0
2010-03-01,43.22,43.42,42.41,42.53,5909000.0,0.0,1.0,43.22,43.42,42.41,42.53,5909000.0
2010-03-02,42.77,42.77,42.32,42.41,4886600.0,0.0,1.0,42.77,42.77,42.32,42.41,4886600.0
2010-03-03,42.59,42.93,42.39,42.49,5061700.0,0.0,1.0,42.59,42.93,42.39,42.49,5061700.0
2010-03-04,42.49,42.81,40.57,40.77,8134600.0,0.0,1.0,42.49,42.81,40.57,40.77,8134600.0
2010-03-05,41.19,42.72,41.19,42.59,7242100.0,0.0,1.0,41.19,42.72,41.19,42.59,7242100.0
2010-03-08,42.7,42.89,42.15,42.25,5226000.0,0.0,1.0,42.7,42.89,42.15,42.25,5226000.0
2010-03-09,41.71,44.5,41.71,43.89,12645000.0,0.0,1.0,41.71,44.5,41.71,43.89,12645000.0
2010-03-10,44.02,45.3,43.83,44.94,8785500.0,0.0,1.0,44.02,45.3,43.83,44.94,8785500.0
2010-03-11,44.58,44.75,44.17,44.38,4162500.0,0.0,1.0,44.58,44.75,44.17,44.38,4162500.0
2010-03-12,44.57,44.95,44.24,44.36,3237700.0,0.0,1.0,44.57,44.95,44.24,44.36,3237700.0
2010-03-15,44.01,44.11,42.48,43.42,3646200.0,0.0,1.0,44.01,44.11,42.48,43.42,3646200.0
2010-03-16,42.59,43.16,42.26,42.58,5198000.0,0.0,1.0,42.59,43.16,42.26,42.58,5198000.0
2010-03-17,42.72,43.5,42.51,42.96,5268700.0,0.0,1.0,42.72,43.5,42.51,42.96,5268700.0
2010-03-18,42.75,42.95,40.61,40.78,8188100.0,0.0,1.0,42.75,42.95,40.61,40.78,8188100.0
2010-03-19,41.01,41.1,38.25,39.6,14948800.0,0.0,1.0,41.01,41.1,38.25,39.6,14948800.0
2010-03-22,39.11,40.12,38.56,39.95,6931600.0,0.0,1.0,39.11,40.12,38.56,39.95,6931600.0
2010-03-23,40.04,40.44,39.4,39.93,6037200.0,0.0,1.0,40.04,40.44,39.4,39.93,6037200.0
2010-03-24,39.61,40.19,39.29,39.42,4807700.0,0.0,1.0,39.61,40.19,39.29,39.42,4807700.0
2010-03-25,39.85,40.13,38.02,38.13,5917400.0,0.0,1.0,39.85,40.13,38.02,38.13,5917400.0
2010-03-26,38.24,38.24,37.21,37.7,6531000.0,0.0,1.0,38.24,38.24,37.21,37.7,6531000.0
2010-03-29,39.66,40.95,39.1,40.73,10466500.0,0.0,1.0,39.66,40.95,39.1,40.73,10466500.0
2010-03-30,40.58,40.58,39.59,40.22,5579100.0,0.0,1.0,40.58,40.58,39.59,40.22,5579100.0
2010-03-31,40.26,41.11,40.01,40.72,5747000.0,0.0,1.0,40.26,41.11,40.01,40.72,5747000.0
2010-04-01,40.97,41.87,40.96,41.48,4476900.0,0.0,1.0,40.97,41.87,40.96,41.48,4476900.0
2010-04-05,41.81,42.935,41.2603,42.74,5515800.0,0.0,1.0,41.81,42.935,41.2603,42.74,5515800.0
2010-04-06,42.23,42.75,41.84,41.93,4903800.0,0.0,1.0,42.23,42.75,41.84,41.93,4903800.0
2010-04-07,41.74,41.97,40.62,40.78,7149000.0,0.0,1.0,41.74,41.97,40.62,40.78,7149000.0
2010-04-08,40.48,40.895,39.87,40.74,4475200.0,0.0,1.0,40.48,40.895,39.87,40.74,4475200.0
2010-04-09,41.27,41.65,40.94,41.3,4197100.0,0.0,1.0,41.27,41.65,40.94,41.3,4197100.0
2010-04-12,41.41,42.16,41.06,41.76,5056300.0,0.0,1.0,41.41,42.16,41.06,41.76,5056300.0
2010-04-13,41.75,42.08,41.36,41.57,6012100.0,0.0,1.0,41.75,42.08,41.36,41.57,6012100.0
2010-04-14,41.48,41.77,40.75,41.59,4965400.0,0.0,1.0,41.48,41.77,40.75,41.59,4965400.0
2010-04-15,41.56,42.35,41.16,41.63,6628000.0,0.0,1.0,41.56,42.35,41.16,41.63,6628000.0
2010-04-16,41.43,41.43,40.16,40.48,5700400.0,0.0,1.0,41.43,41.43,40.16,40.48,5700400.0
2010-04-19,40.26,40.26,39.32,39.7,5081700.0,0.0,1.0,40.26,40.26,39.32,39.7,5081700.0
2010-04-20,40.04,41.39,39.94,40.79,6301500.0,0.0,1.0,40.04,41.39,39.94,40.79,6301500.0
2010-04-21,41.16,41.5,40.38,40.66,6895000.0,0.0,1.0,41.16,41.5,40.38,40.66,6895000.0
2010-04-22,40.21,41.75,39.85,41.51,6029500.0,0.0,1.0,40.21,41.75,39.85,41.51,6029500.0
2010-04-23,41.45,43.28,40.87,43.09,7129500.0,0.0,1.0,41.45,43.28,40.87,43.09,7129500.0
2010-04-26,43.26,43.39,42.36,42.41,3753800.0,0.0,1.0,43.26,43.39,42.36,42.41,3753800.0
2010-04-27,42.01,42.165,40.65,40.92,4550800.0,0.0,1.0,42.01,42.165,40.65,40.92,4550800.0
