Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,5.44,5.56,5.39,5.45,5353200.0,0.0,1.0,21.76,22.24,21.56,21.8,1338300.0
2010-01-05,5.92,6.16,5.91,6.0,26854000.0,0.0,1.0,23.68,24.64,23.64,24.0,6713500.0
2010-01-06,6.03,6.05,5.84,5.9,7894000.0,0.0,1.0,24.12,24.2,23.36,23.6,1973500.0
2010-01-07,6.07,6.15,5.98,6.01,9410800.0,0.0,1.0,24.28,24.6,23.92,24.04,2352700.0
2010-01-08,6.01,6.28,6.01,6.25,10325600.0,0.0,1.0,24.04,25.12,24.04,25.0,2581400.0
2010-01-11,6.36,6.38,6.11,6.14,5221600.0,0.0,1.0,25.44,25.52,24.44,24.56,1305400.0
2010-01-12,6.03,6.08,5.86,5.91,7155200.0,0.0,1.0,24.12,24.32,23.44,23.64,1788800.0
2010-01-13,5.99,6.28,5.96,6.25,9702400.0,0.0,1.0,23.96,25.12,23.84,25.0,2425600.0
2010-01-14,6.29,6.44,6.15,6.29,9964000.0,0.0,1.0,25.16,25.76,24.6,25.16,2491000.0
2010-01-15,6.26,6.34,6.06,6.07,8116000.0,0.0,1.0,25.04,25.36,24.24,24.28,2029000.0
2010-01-19,6.1,6.18,5.69,5.86,16025200.0,0.0,1.0,24.4,24.72,22.76,23.44,4006300.0
2010-01-20,5.74,5.8,5.6,5.65,10562400.0,0.0,1.0,22.96,23.2,22.4,22.6,2640600.0
2010-01-21,5.68,5.73,5.44,5.45,9026000.0,0.0,1.0,22.72,22.92,21.76,21.8,2256500.0
2010-01-22,5.43,5.53,5.17,5.19,15568800.0,0.0,1.0,21.72,22.12,20.68,20.76,3892200.0
2010-01-25,5.26,5.35,5.17,5.29,8294400.0,0.0,1.0,21.04,21.4,20.68,21.16,2073600.0
2010-01-26,5.2,5.65,5.2,5.53,12806000.0,0.0,1.0,20.8,22.6,20.8,22.12,3201500.0
2010-01-27,5.52,5.56,5.31,5.39,6740400.0,0.0,1.0,22.08,22.24,21.24,21.56,1685100.0
2010-01-28,5.48,5.5,5.13,5.16,9362400.0,0.0,1.0,21.92,22.0,20.52,20.64,2340600.0
2010-01-29,5.24,5.59,5.17,5.54,24048000.0,0.0,1.0,20.96,22.36,20.68,22.16,6012000.0
2010-02-01,5.51,5.58,5.3,5.49,12313200.0,0.0,1.0,22.04,22.32,21.2,21.96,3078300.0
2010-02-02,5.53,5.62,5.42,5.59,7503200.0,0.0,1.0,22.12,22.48,21.68,22.36,1875800.0
2010-02-03,5.58,5.69,5.47,5.52,5162400.0,0.0,1.0,22.32,22.76,21.88,22.08,1290600.0
2010-02-04,5.43,5.46,5.18,5.2,10795200.0,0.0,1.0,21.72,21.84,20.72,20.8,2698800.0
2010-02-05,5.19,5.2,4.95,5.1,10137600.0,0.0,1.0,20.76,20.8,19.8,20.4,2534400.0
2010-02-08,5.07,5.15,4.93,4.96,10228000.0,0.0,1.0,20.28,20.6,19.72,19.84,2557000.0
2010-02-09,5.07,5.18,5.0,5.15,6456000.0,0.0,1.0,20.28,20.72,20.0,20.6,1614000.0
2010-02-10,5.11,5.17,5.06,5.08,4394000.0,0.0,1.0,20.44,20.68,20.24,20.32,1098500.0
2010-02-11,5.07,5.27,5.04,5.24,4354400.0,0.0,1.0,20.28,21.08,20.16,20.96,1088600.0
2010-02-12,5.18,5.26,5.12,5.21,6771600.0,0.0,1.0,20.72,21.04,20.48,20.84,1692900.0
2010-02-16,5.31,5.32,5.17,5.32,5789200.0,0.0,1.0,21.24,21.28,20.68,21.28,1447300.0
2010-02-17,5.35,5.59,5.35,5.55,7526400.0,0.0,1.0,21.4,22.36,21.4,22.2,1881600.0
2010-02-18,5.52,5.75,5.51,5.64,7035600.0,0.0,1.0,22.08,23.0,22.04,22.56,1758900.0
2010-02-19,5.6,5.67,5.55,5.59,9164000.0,0.0,1.0,22.4,22.68,22.2,22.36,2291000.0
2010-02-22,5.64,5.67,5.52,5.58,10559200.0,0.0,1.0,22.56,22.68,22.08,22.32,2639800.0
2010-02-23,5.33,5.34,4.92,5.04,29557600.0,0.0,1.0,21.32,21.36,19.68,20.16,7389400.0
2010-02-24,5.06,5.17,5.02,5.07,16866400.0,0.0,1.0,20.24,20.68,20.08,20.28,4216600.0
2010-02-25,5.01,5.07,4.94,5.03,9439200.0,0.0,1.0,20.04,20.28,19.76,20.12,2359800.0
2010-02-26,5.03,5.3,4.97,5.27,13160800.0,0.0,1.0,20.12,21.2,19.88,21.08,3290200.0
2010-03-01,5.28,5.34,5.22,5.27,7796000.0,0.0,1.0,21.12,21.36,20.88,21.08,1949000.0
2010-03-02,5.27,5.38,5.15,5.38,9468400.0,0.0,1.0,21.08,21.52,20.6,21.52,2367100.0
2010-03-03,5.4,5.47,5.3,5.38,8205600.0,0.0,1.0,21.6,21.88,21.2,21.52,2051400.0
2010-03-04,5.38,5.47,5.32,5.45,7630400.0,0.0,1.0,21.52,21.88,21.28,21.8,1907600.0
