Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,35.61,35.84,34.65,34.91,3433800.0,0.0,1.0,35.61,35.84,34.65,34.91,3433800.0
2010-01-05,34.99,36.23,34.82,35.56,3958600.0,0.0,1.0,34.99,36.23,34.82,35.56,3958600.0
2010-01-06,35.27,35.56,34.77,35.28,3294600.0,0.0,1.0,35.27,35.56,34.77,35.28,3294600.0
2010-01-07,34.97,34.99,33.8,34.08,5854700.0,0.0,1.0,34.97,34.99,33.8,34.08,5854700.0
2010-01-08,34.02,34.39,33.73,34.01,2945300.0,0.0,1.0,34.02,34.39,33.73,34.01,2945300.0
2010-01-11,33.95,34.11,33.54,33.82,2340100.0,0.0,1.0,33.95,34.11,33.54,33.82,2340100.0
2010-01-12,33.64,33.75,33.06,33.59,2906400.0,0.0,1.0,33.64,33.75,33.06,33.59,2906400.0
2010-01-13,33.71,34.27,33.65,34.16,1550900.0,0.0,1.0,33.71,34.27,33.65,34.16,1550900.0
2010-01-14,33.91,34.27,33.29,33.78,2544800.0,0.0,1.0,33.91,34.27,33.29,33.78,2544800.0
2010-01-15,33.51,34.1,32.38,32.45,3982400.0,0.0,1.0,33.51,34.1,32.38,32.45,3982400.0
2010-01-19,32.62,32.91,32.47,32.72,2651300.0,0.0,1.0,32.62,32.91,32.47,32.72,2651300.0
2010-01-20,32.35,32.5,31.27,31.62,3220900.0,0.0,1.0,32.35,32.5,31.27,31.62,3220900.0
2010-01-21,31.72,32.12,31.21,31.45,3242600.0,0.0,1.0,31.72,32.12,31.21,31.45,3242600.0
2010-01-22,31.79,31.82,30.97,31.05,4389800.0,0.0,1.0,31.79,31.82,30.97,31.05,4389800.0
2010-01-25,31.08,31.415,30.85,31.12,3841500.0,0.0,1.0,31.08,31.415,30.85,31.12,3841500.0
2010-01-26,31.01,31.6,31.0,31.38,2998800.0,0.0,1.0,31.01,31.6,31.0,31.38,2998800.0
2010-01-27,31.22,31.7,31.01,31.54,1912100.0,0.0,1.0,31.22,31.7,31.01,31.54,1912100.0
2010-01-28,31.54,31.65,30.11,30.52,3705400.0,0.0,1.0,31.54,31.65,30.11,30.52,3705400.0
2010-01-29,31.54,32.84,31.12,31.57,5132100.0,0.0,1.0,31.54,32.84,31.12,31.57,5132100.0
2010-02-01,32.39,32.54,32.05,32.49,3528800.0,0.0,1.0,32.39,32.54,32.05,32.49,3528800.0
2010-02-02,32.47,32.91,32.28,32.67,2744900.0,0.0,1.0,32.47,32.91,32.28,32.67,2744900.0
2010-02-03,32.4,32.58,31.78,31.99,3381300.0,0.0,1.0,32.4,32.58,31.78,31.99,3381300.0
2010-02-04,31.02,31.18,30.48,30.85,4919400.0,0.0,1.0,31.02,31.18,30.48,30.85,4919400.0
2010-02-05,31.14,31.285,30.63,30.83,34530300.0,0.0,1.0,31.14,31.285,30.63,30.83,34530300.0
2010-02-08,30.94,31.3625,30.52,30.91,5235000.0,0.0,1.0,30.94,31.3625,30.52,30.91,5235000.0
2010-02-09,31.37,31.97,31.06,31.85,4497400.0,0.0,1.0,31.37,31.97,31.06,31.85,4497400.0
2010-02-10,31.73,31.85,31.11,31.39,2570800.0,0.0,1.0,31.73,31.85,31.11,31.39,2570800.0
2010-02-11,31.2,31.49,30.79,31.14,3283800.0,0.0,1.0,31.2,31.49,30.79,31.14,3283800.0
2010-02-12,30.81,31.0,30.55,30.84,3346300.0,0.0,1.0,30.81,31.0,30.55,30.84,3346300.0
2010-02-16,30.96,31.26,30.77,31.2,2569200.0,0.0,1.0,30.96,31.26,30.77,31.2,2569200.0
2010-02-17,31.33,31.57,31.2712,31.56,2128600.0,0.0,1.0,31.33,31.57,31.2712,31.56,2128600.0
2010-02-18,31.68,32.13,31.36,32.1,2647700.0,0.0,1.0,31.68,32.13,31.36,32.1,2647700.0
2010-02-19,32.02,32.46,31.95,31.96,2468800.0,0.0,1.0,32.02,32.46,31.95,31.96,2468800.0
2010-02-22,32.14,32.36,31.63,32.04,2012100.0,0.0,1.0,32.14,32.36,31.63,32.04,2012100.0
2010-02-23,31.99,32.15,31.5,31.66,1568500.0,0.0,1.0,31.99,32.15,31.5,31.66,1568500.0
2010-02-24,31.83,31.97,31.48,31.79,1529900.0,0.0,1.0,31.83,31.97,31.48,31.79,1529900.0
2010-02-25,31.22,31.91,31.07,31.88,3039300.0,0.0,1.0,31.22,31.91,31.07,31.88,3039300.0
2010-02-26,31.9,32.23,31.72,32.2,2376100.0,0.0,1.0,31.9,32.23,31.72,32.2,2376100.0
2010-03-01,32.48,33.19,32.2627,33.18,2757600.0,0.0,1.0,32.48,33.19,32.2627,33.18,2757600.0
2010-03-02,33.4,33.65,32.99,33.11,2797000.0,0.0,1.0,33.4,33.65,32.99,33.11,2797000.0
