Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,56.42,58.37,56.21,57.91,10339400.0,0.0,1.0,52.803273890562,54.628271836088,52.606735650274,54.19775950022,10339400.0
2010-01-05,58.07,58.45,57.27,57.83,9003200.0,0.0,1.0,54.347502921392,54.703143546674,53.598785815535,54.122887789634,9003200.0
2010-01-06,57.92,60.8,57.85,60.4,11831200.0,0.0,1.0,54.207118464043,56.902500045128,54.141605717281,56.5281414922,11831200.0
2010-01-07,60.24,61.0,58.87,60.91,12132800.0,0.0,1.0,56.378398071029,57.089679321593,55.096220027248,57.005448647184,12132800.0
2010-01-08,60.84,66.08,60.76,65.34,25997900.0,0.0,1.0,56.939935900421,61.844032943784,56.865064189836,61.151469620867,25997900.0
2010-01-11,66.2,66.45,62.8,62.93,19441300.0,0.0,1.0,61.956340509663,62.190314605243,58.774292809771,58.895959339473,19441300.0
2010-01-12,61.84,64.72,61.8,62.93,22930900.0,0.0,1.0,57.875832282742,60.571213863827,57.83839642745,58.895959339473,22930900.0
2010-01-13,63.7,63.95,61.42,63.17,13217000.0,0.0,1.0,59.61659955386,59.85057364944,57.482755802168,59.12057447123,13217000.0
2010-01-14,63.32,63.87,62.45,63.56,11051000.0,0.0,1.0,59.260958928578,59.775701938854,58.446729075958,59.485574060335,11051000.0
2010-01-15,63.26,63.63,61.62,62.04,12631800.0,0.0,1.0,59.204805145639,59.551086807097,57.669935078632,58.063011559207,12631800.0
2010-01-19,62.91,65.53,62.65,65.44,14130200.0,0.0,1.0,58.877241411826,61.329289933508,58.633908352423,61.245059259099,14130200.0
2010-01-20,64.02,64.08,62.24,63.26,15164600.0,0.0,1.0,59.916086396203,59.972240179142,58.250190835671,59.204805145639,15164600.0
2010-01-21,63.29,63.86,57.64,57.67,26907300.0,0.0,1.0,59.232882037108,59.766342975031,53.945067476993,53.973144368463,26907300.0
2010-01-22,56.3,58.47,54.3,55.0,28085900.0,0.0,1.0,52.690966324683,54.72186147432,50.819173560041,51.474301027665,28085900.0
2010-01-25,56.77,57.49,55.0,56.23,16024500.0,0.0,1.0,53.130837624374,53.804683019645,51.474301027665,52.625453577921,16024500.0
2010-01-26,52.66,53.4,49.48,49.61,41417600.0,0.0,1.0,49.284303493034,49.976866815952,46.308152997253,46.429819526954,41417600.0
2010-01-27,48.75,49.01,45.05,46.6,48032200.0,0.0,1.0,45.624948638158,45.868281697562,42.16213202357,43.612771416167,48032200.0
2010-01-28,47.27,47.66,45.23,45.58,27279900.0,0.0,1.0,44.239821992323,44.604821581428,42.330593372387,42.6581571062,27279900.0
2010-01-29,46.12,47.5,43.75,44.43,29901900.0,0.0,1.0,43.163541152653,44.455078160257,40.945466726552,41.581876266531,29901900.0
2010-02-01,45.17,47.37,45.08,47.32,19375000.0,0.0,1.0,42.274439589448,44.333411630555,42.190208915039,44.286616811439,19375000.0
2010-02-02,48.2,48.25,46.9,48.05,20656200.0,0.0,1.0,45.110205627881,45.157000446997,43.893540330864,44.969821170533,20656200.0
2010-02-03,47.29,48.13,46.6,46.82,12703800.0,0.0,1.0,44.258539919969,45.044692881119,43.612771416167,43.818668620278,12703800.0
2010-02-04,45.71,45.82,44.02,44.07,20370300.0,0.0,1.0,42.779823635902,42.882772237957,41.198158749779,41.244953568895,20370300.0
2010-02-05,44.17,44.83,42.32,44.78,28598300.0,0.0,1.0,41.338543207127,41.956234819459,39.607134899833,41.909440000343,28598300.0
2010-02-08,44.82,45.9,43.64,44.09,16556700.0,0.05,1.0,41.994445458557,43.006359806956,40.888835337158,41.310466315657,16556700.0
2010-02-09,45.45,46.5,44.95,46.01,21781900.0,0.0,1.0,42.584728828456,43.568534444955,42.116249963457,43.109425157255,21781900.0
2010-02-10,45.52,46.13,44.01,44.37,19820300.0,0.0,1.0,42.650315869556,43.221860084855,41.235509697257,41.572814480057,19820300.0
2010-02-11,44.62,47.39,44.52,47.01,23036500.0,0.0,1.0,41.807053912557,44.402426824654,41.713358139557,44.046382887255,23036500.0
2010-02-12,45.93,48.64,45.61,47.98,26302900.0,0.0,1.0,43.034468538856,45.573623987153,42.734642065256,44.955231885354,26302900.0
2010-02-16,49.23,51.57,49.05,51.14,27289100.0,0.0,1.0,46.126429047852,48.31891013605,45.957776656453,47.916018312151,27289100.0
2010-02-17,51.86,52.47,50.01,50.85,19188200.0,0.0,1.0,48.59062787775,49.162172093049,46.857256077252,47.644300570451,19188200.0
2010-02-18,50.09,51.25,50.0,50.96,16415400.0,0.0,1.0,46.932212695652,48.01908366245,46.847886499952,47.747365920751,16415400.0
2010-02-19,50.68,53.58,50.56,53.29,22371600.0,0.0,1.0,47.485017756351,50.202195173348,47.372582828751,49.930477431648,22371600.0
2010-02-22,53.94,54.13,52.91,53.5,13050300.0,0.0,1.0,50.539499956148,50.717521924848,49.574433494249,50.127238554948,13050300.0
2010-02-23,53.01,53.26,50.85,51.09,16283400.0,0.0,1.0,49.668129267249,49.902368699748,47.644300570451,47.869170425651,16283400.0
2010-02-24,51.42,52.54,50.87,52.12,16108000.0,0.0,1.0,48.17836647655,49.227759134149,47.663039725051,48.83423688755,16108000.0
2010-02-25,50.81,53.4,50.05,53.18,19347300.0,0.0,1.0,47.606822261251,50.033542781948,46.894734386452,49.827412081349,19347300.0
2010-02-26,53.22,53.41,52.29,52.94,12476300.0,0.0,1.0,49.864890390549,50.042912359248,48.993519701649,49.602542226149,12476300.0
2010-03-01,53.58,54.71,52.9,54.58,14105900.0,0.0,1.0,50.202195173348,51.260957408247,49.565063916949,51.139152903347,14105900.0
2010-03-02,55.4,56.33,54.77,55.3,14696500.0,0.0,1.0,51.907458241946,52.778828930846,51.317174872047,51.813762468947,14696500.0
2010-03-03,56.15,57.82,55.94,56.38,16857700.0,0.0,1.0,52.610176539446,54.174895948544,52.413415416146,52.825676817345,16857700.0
2010-03-04,57.22,57.53,56.11,56.64,21435800.0,0.0,1.0,53.612721310545,53.903178206844,52.572698230246,53.069285827145,21435800.0
2010-03-05,57.68,59.12,57.44,58.9,17877400.0,0.0,1.0,54.043721866344,55.392940997543,53.818852011144,55.186810296943,17877400.0
2010-03-08,60.77,61.08,59.56,61.03,20266600.0,0.0,1.0,56.938921252041,57.229378148341,55.805202398742,57.182530261841,20266600.0
2010-03-09,60.25,61.58,59.57,60.23,20835500.0,0.0,1.0,56.451703232442,57.69785701334,55.814571976042,56.432964077842,20835500.0
2010-03-10,60.94,61.09,59.29,59.96,16775300.0,0.0,1.0,57.098204066141,57.238747725641,55.552223811643,56.179985490742,16775300.0
2010-03-11,59.24,60.48,58.7,60.42,12631700.0,0.0,1.0,55.505375925143,56.667203510341,54.999418750943,56.610986046542,12631700.0
2010-03-12,61.08,61.95,60.92,61.4,13810200.0,0.0,1.0,57.229378148341,58.04453137344,57.079464911541,57.529204621941,13810200.0
2010-03-15,60.78,60.94,59.2,60.69,12296300.0,0.0,1.0,56.948290829341,57.098204066141,55.467897615943,56.863964633641,12296300.0
2010-03-16,61.25,62.66,61.01,62.49,14749000.0,0.0,1.0,57.388660962441,58.709771361739,57.163791107241,58.55048854764,14749000.0
2010-03-17,62.89,63.44,60.62,60.94,16637800.0,0.0,1.0,58.925271639639,59.440598391139,56.798377592541,57.098204066141,16637800.0
