Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,16.94,17.2,16.88,17.1,16587400.0,0.0,1.0,16.94,17.2,16.88,17.1,16587400.0
2010-01-05,17.22,17.23,17.0,17.23,11718100.0,0.0,1.0,17.22,17.23,17.0,17.23,11718100.0
2010-01-06,17.17,17.3,17.07,17.17,16422000.0,0.0,1.0,17.17,17.3,17.07,17.17,16422000.0
2010-01-07,16.81,16.9,16.57,16.7,31816300.0,0.0,1.0,16.81,16.9,16.57,16.7,31816300.0
2010-01-08,16.68,16.76,16.615,16.7,15470000.0,0.0,1.0,16.68,16.76,16.615,16.7,15470000.0
2010-01-11,16.77,16.83,16.48,16.74,16181900.0,0.0,1.0,16.77,16.83,16.48,16.74,16181900.0
2010-01-12,16.65,16.86,16.6,16.68,15672400.0,0.0,1.0,16.65,16.86,16.6,16.68,15672400.0
2010-01-13,16.88,16.98,16.65,16.9,16955600.0,0.0,1.0,16.88,16.98,16.65,16.9,16955600.0
2010-01-14,16.81,17.23,16.8,17.12,16715600.0,0.0,1.0,16.81,17.23,16.8,17.12,16715600.0
2010-01-15,17.25,17.25,16.75,16.82,18415000.0,0.0,1.0,17.25,17.25,16.75,16.82,18415000.0
2010-01-19,16.78,16.96,16.64,16.75,15182600.0,0.0,1.0,16.78,16.96,16.64,16.75,15182600.0
2010-01-20,16.65,16.68,16.25,16.38,14419500.0,0.0,1.0,16.65,16.68,16.25,16.38,14419500.0
2010-01-21,16.39,16.58,16.1,16.2,21858400.0,0.0,1.0,16.39,16.58,16.1,16.2,21858400.0
2010-01-22,16.08,16.21,15.81,15.88,25132800.0,0.0,1.0,16.08,16.21,15.81,15.88,25132800.0
2010-01-25,16.07,16.1101,15.74,15.86,19683700.0,0.0,1.0,16.07,16.1101,15.74,15.86,19683700.0
2010-01-26,15.82,16.17,15.7,15.99,43979400.0,0.0,1.0,15.82,16.17,15.7,15.99,43979400.0
2010-01-27,16.46,16.49,15.77,15.98,41701000.0,0.0,1.0,16.46,16.49,15.77,15.98,41701000.0
2010-01-28,15.93,15.96,15.44,15.44,30159500.0,0.0,1.0,15.93,15.96,15.44,15.44,30159500.0
2010-01-29,15.51,15.67,14.9,15.01,39664600.0,0.0,1.0,15.51,15.67,14.9,15.01,39664600.0
2010-02-01,15.14,15.3,14.87,15.05,29865700.0,0.0,1.0,15.14,15.3,14.87,15.05,29865700.0
2010-02-02,15.1,15.32,15.03,15.17,27555200.0,0.0,1.0,15.1,15.32,15.03,15.17,27555200.0
2010-02-03,15.12,15.6,15.12,15.46,24730600.0,0.0,1.0,15.12,15.6,15.12,15.46,24730600.0
2010-02-04,15.34,15.52,14.99,15.01,27668100.0,0.0,1.0,15.34,15.52,14.99,15.01,27668100.0
2010-02-05,15.01,15.25,14.92,15.19,20713800.0,0.0,1.0,15.01,15.25,14.92,15.19,20713800.0
2010-02-08,15.18,15.47,14.95,14.99,19856400.0,0.0,1.0,15.18,15.47,14.95,14.99,19856400.0
2010-02-09,15.2,15.24,14.94,15.07,16716900.0,0.0,1.0,15.2,15.24,14.94,15.07,16716900.0
2010-02-10,15.02,15.02,14.48,14.8,36518100.0,0.0,1.0,15.02,15.02,14.48,14.8,36518100.0
2010-02-11,14.87,15.25,14.765,15.22,24509500.0,0.0,1.0,14.87,15.25,14.765,15.22,24509500.0
2010-02-12,15.07,15.19,14.85,15.17,18926400.0,0.0,1.0,15.07,15.19,14.85,15.17,18926400.0
2010-02-16,15.23,15.48,15.18,15.41,21447200.0,0.0,1.0,15.23,15.48,15.18,15.41,21447200.0
2010-02-17,15.5,15.52,15.32,15.44,12731900.0,0.0,1.0,15.5,15.52,15.32,15.44,12731900.0
2010-02-18,15.4,15.6,15.32,15.54,13700100.0,0.0,1.0,15.4,15.6,15.32,15.54,13700100.0
2010-02-19,15.49,15.71,15.325,15.58,15407900.0,0.0,1.0,15.49,15.71,15.325,15.58,15407900.0
2010-02-22,15.61,15.68,15.44,15.49,10463500.0,0.0,1.0,15.61,15.68,15.44,15.49,10463500.0
2010-02-23,15.45,15.51,15.14,15.38,18346700.0,0.0,1.0,15.45,15.51,15.14,15.38,18346700.0
2010-02-24,15.48,15.71,15.33,15.59,19284200.0,0.0,1.0,15.48,15.71,15.33,15.59,19284200.0
2010-02-25,15.32,15.35,15.13,15.24,20126900.0,0.0,1.0,15.32,15.35,15.13,15.24,20126900.0
2010-02-26,15.27,15.41,15.16,15.31,14975600.0,0.0,1.0,15.27,15.41,15.16,15.31,14975600.0
2010-03-01,15.43,15.83,15.4,15.79,17238000.0,0.0,1.0,15.43,15.83,15.4,15.79,17238000.0
2010-03-02,15.87,15.96,15.67,15.73,20101800.0,0.0,1.0,15.87,15.96,15.67,15.73,20101800.0
2010-03-03,15.85,15.85,15.55,15.57,20613800.0,0.0,1.0,15.85,15.85,15.55,15.57,20613800.0
2010-03-04,15.55,15.85,15.52,15.81,22906000.0,0.0,1.0,15.55,15.85,15.52,15.81,22906000.0
2010-03-05,15.89,16.3833,15.89,16.06,21415000.0,0.0,1.0,15.89,16.3833,15.89,16.06,21415000.0
2010-03-08,16.32,16.61,16.3,16.52,30554000.0,0.0,1.0,16.32,16.61,16.3,16.52,30554000.0
2010-03-09,16.41,16.72,16.4,16.53,20755200.0,0.0,1.0,16.41,16.72,16.4,16.53,20755200.0
2010-03-10,16.51,16.94,16.51,16.79,33088600.0,0.0,1.0,16.51,16.94,16.51,16.79,33088600.0
2010-03-11,16.57,16.65,16.1,16.53,21732900.0,0.0,1.0,16.57,16.65,16.1,16.53,21732900.0
2010-03-12,16.51,16.59,16.26,16.32,23106400.0,0.0,1.0,16.51,16.59,16.26,16.32,23106400.0
2010-03-15,16.35,16.64,16.28,16.46,18967700.0,0.0,1.0,16.35,16.64,16.28,16.46,18967700.0
2010-03-16,16.47,16.59,16.23,16.36,18309900.0,0.0,1.0,16.47,16.59,16.23,16.36,18309900.0
2010-03-17,16.28,16.63,16.28,16.5,13754600.0,0.0,1.0,16.28,16.63,16.28,16.5,13754600.0
2010-03-18,16.46,16.57,16.32,16.56,12626200.0,0.0,1.0,16.46,16.57,16.32,16.56,12626200.0
2010-03-19,16.62,16.81,16.34,16.44,17871000.0,0.0,1.0,16.62,16.81,16.34,16.44,17871000.0
2010-03-22,16.37,16.54,16.32,16.34,18743500.0,0.0,1.0,16.37,16.54,16.32,16.34,18743500.0
